行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移
0,8.01617e-05,0,0,-6.00383e-07
0,0.000206884,0,0,-7.11233e-07
0,0.000100656,0,0,-7.02956e-07
0,0.000252424,0,0,-5.77405e-07
0,0.000231228,0,0,-4.46781e-07
0,0,0,0,-3.33825e-07
0,4.48308e-05,0,0,-3.42692e-07
0,0.000235343,0,0,-4.761e-07
0,0,0,0,-5.9605e-07
0,0.000270804,0,0,-7.08752e-07
0,0,0,0,-7.09689e-07
0,0,0,0,-6.98714e-07
0,0.000262392,0,0,-5.55866e-07
0,0.000241906,0,0,-4.30315e-07
0,0.000238347,0,0,-2.92645e-07
0,6.1312e-05,0,0,-2.93468e-07
0,5.94024e-05,0,0,-2.99582e-07
0,8.13012e-05,0,0,-4.14982e-07
0,2.52611e-05,0,0,-5.43211e-07
0,0.000205319,0,0,-5.44035e-07
0,0.000276098,0,0,-5.3306e-07
0,0.000269616,0,0,-4.12061e-07
0,0.000219594,0,0,-2.7439e-07
0,0.000133227,0,0.000388691,-1.60638e-07
0,0.000247993,0,0.000388691,-3.33231e-08
0,0,0,0.000388691,-3.4147e-08
0,0.000200564,0,0.000345621,-3.95206e-08
0,0.000152753,0,0.000345621,-4.04579e-08
0,0,0,0.000345621,-3.67304e-08
0,0.000101261,0,0.000345621,-3.24894e-08
0,0.000144289,0,0.000365301,-2.87619e-08
0,0.000194326,0,0.000365301,-2.45208e-08
0,0.000204902,0,0.000365301,-2.07933e-08
0,0.000197482,0,0.000365301,-2.17307e-08
0,0.000118837,0,0.000581091,-2.25546e-08
0,3.54031e-05,0,0.000581091,-1.48677e-07
0,0.000270018,0,0.000581091,-2.59527e-07
0,0.000204917,0,0.000808573,-3.80473e-07
0,0.000167896,0,0.000808573,-3.76745e-07
0,0,0,0.000808573,-3.72504e-07
0,0.000240459,0,0.000808573,-3.73328e-07
0,2.35412e-05,0,0.00103413,-3.74152e-07
0,0.000215727,0,0.00103413,-3.75089e-07
0,0.000183818,0,0.00103413,-3.75913e-07
0,4.97181e-05,0,0.00103413,-3.7685e-07
0,3.90065e-05,0,0.000498231,-3.77674e-07
0,0.00019526,0,0.000498231,-3.73947e-07
0,0.000201836,0,0.000498231,-3.70219e-07
0,0.000239108,0,0.000865601,-2.37725e-07
0,0,0,0.000865601,-1.21276e-07
0,4.08851e-05,0,0.000865601,-1.1485e-07
0,0.000177054,0,0.000865601,-1.12718e-07
0,4.40168e-05,0,0.000311789,-1.10844e-07
0,0.000285934,0,0.000311789,-1.11668e-07
0,0.000248893,0,0.000311789,-1.07427e-07
0,0.000266424,0,0.00056955,-1.03699e-07
0,0,0,0.00056955,-9.99719e-08
0,0.000235412,0,0.00056955,-9.62444e-08
0,4.60838e-05,0,0.00056955,-9.25169e-08
0,6.55714e-05,0,0.00103124,-9.33408e-08
0,0.000265661,0,0.00103124,-9.42782e-08
0,0.000195378,0,0.00103124,-9.52155e-08
0,4.90847e-05,0,0.00103124,-8.87901e-08
0,0.000192468,0,0.000648336,-8.23647e-08
0,0.00018978,0,0.000648336,-7.5054e-08
0,0.000256334,0,0.000648336,-6.86286e-08
0,0.000165323,0,0.000648336,-6.13179e-08
0,0.000283618,0,0.000595042,-5.48925e-08
0,5.81712e-05,0,0.000595042,-4.75818e-08
0,4.89016e-05,0,0.000595042,-4.11564e-08
0,0.000284163,0,0.000595042,-3.38457e-08
0,0.000225204,0,0.00055743,-2.6535e-08
0,0.000198457,0,0.00055743,-2.01096e-08
0,3.72792e-05,0,0.00055743,-1.27989e-08
0,0.000149131,0,0.00055743,-5.48826e-09
0,0.000220516,0,0.000249792,9.37151e-10
0,0.000251875,0,0.000249792,4.66465e-09
0,0.000174748,0,0.000249792,8.39215e-09
0,0,0,0.000718239,1.26332e-08
0,0.000120944,0,0.000718239,1.68743e-08
0,7.19857e-05,0,0.000718239,2.11154e-08
0,0.000208277,0,0.000950322,2.48429e-08
0,0.000305764,0,0.000950322,2.90839e-08
0,9.30506e-05,0,0.000950322,3.28114e-08
0,0.000219007,0,0.000950322,3.65389e-08
0,0.000268103,0,0.000733249,3.57151e-08
0,0.000212705,0,0.000733249,3.47777e-08
0,0.000193616,0,0.000733249,3.39538e-08
0,0.00025727,0,0.000733249,3.31299e-08
0,0,0,0.00029828,3.21925e-08
0,0.000212274,0,0.00029828,3.12552e-08
0,0.00023383,0,0.00029828,3.04313e-08
0,0.000269017,0,0.00029828,2.96074e-08
0,2.40871e-05,0,0.000218061,2.867e-08
0,0.000217929,0,0.000218061,2.78462e-08
0,0.00017734,0,0.000218061,3.15737e-08
0,0,0,0.000948899,3.53012e-08
0,3.49224e-05,0,0.000948899,3.95422e-08
0,0.000229131,0,0.000948899,4.32697e-08
0,3.28848e-05,0,0.000948899,4.75108e-08
0,0.000144756,0,0.000953821,5.12383e-08
0,0.000195384,0,0.000953821,5.54794e-08
0,0.000226474,0,0.000953821,5.46555e-08
0,0.000285717,0,0.000953821,5.37181e-08
0,0,0,0.000474588,5.28943e-08
0,0.000235353,0,0.000474588,5.71353e-08
0,0.000167229,0,0.000474588,6.13764e-08
0,0,0,0.000474588,6.51039e-08
0,0.000161682,0,0.000440118,6.88314e-08
0,0,0,0.000440118,7.30725e-08
0,0.000232488,0,0.000440118,7.68e-08
0,0.000164205,0,0.000701645,8.1041e-08
0,0.000138056,0,0.000701645,8.47685e-08
0,0.000285896,0,0.000701645,8.90096e-08
0,0.00033007,0,0.000764737,9.32507e-08
0,0.000238788,0,0.000764737,9.69782e-08
0,4.32268e-05,0,0.000764737,1.01219e-07
0,0.000270799,0,0.000764737,1.04947e-07
0,0.000185916,0,0.000603582,1.08674e-07
0,0.00021009,0,0.000603582,1.12915e-07
0,0.000256748,0,0.000603582,1.16643e-07
0,0.000192895,0,0.000603582,1.2037e-07
0,0.000274937,0,0.00108012,1.24098e-07
0,3.69486e-05,0,0.00108012,1.28339e-07
0,0.000227038,0,0.00108012,1.3258e-07
0,0.000172394,0,0.00108012,1.36307e-07
0,0.000222032,0,0.00113762,1.40549e-07
0,0.00018061,0,0.00113762,1.44276e-07
0,6.56236e-05,0,0.00113762,1.48004e-07
0,6.29673e-05,0,0.00126053,1.51731e-07
0,0.000181313,0,0.00126053,1.55459e-07
0,0,0,0.00126053,1.597e-07
0,2.25463e-05,0,0.00126053,1.63941e-07
0,0.000282228,0,0.000774732,1.67668e-07
0,0.000201756,0,0.000774732,1.71909e-07
0,0.000262917,0,0.000774732,1.75637e-07
0,0.000205509,0,0.000774732,1.79878e-07
0,0.000298839,0,0.00070566,1.84119e-07
0,0.000134719,0,0.00070566,1.8836e-07
0,0.000219846,0,0.00070566,1.87536e-07
0,0.000208422,0,0.00070566,1.86599e-07
0,0.000159683,0,0.000729985,1.85775e-07
0,0.000126273,0,0.000729985,1.84837e-07
0,0.000237308,0,0.000729985,1.89079e-07
0,0.000121276,0,0.00089474,1.92806e-07
0,0.00026314,0,0.00089474,1.97047e-07
0,2.53459e-05,0,0.00089474,1.9611e-07
0,0.000180251,0,0.00055044,1.95286e-07
0,0.000182327,0,0.00055044,1.94462e-07
0,0,0,0.00055044,1.98703e-07
0,0,0,0.00055044,2.02944e-07
0,0.000251913,0,0.000547591,9.66441e-08
0,0.000137522,0,0.000547591,-9.65595e-09
0,0.000204005,0,0.000547591,-1.30602e-07
0,0.000220127,0,0.000547591,-1.26361e-07
0,0.000170524,0,0.000567491,-1.2212e-07
0,0,0,0.000567491,-1.17879e-07
0,3.23693e-05,0,0.000567491,-1.14151e-07
0,0.000109182,0,0.000567491,-1.10424e-07
0,3.2242e-05,0,0.000490666,-1.03998e-07
0,0,0,0.000490666,-9.66875e-08
0,0.000203305,0,0.000490666,-9.02621e-08
0,7.60715e-05,0,0.000736605,-8.29514e-08
0,0.00030059,0,0.000736605,-7.56407e-08
0,0,0,0.000736605,-7.19132e-08
0,2.71271e-05,0,0.000736605,-6.76721e-08
0,0.00023171,0,0.00055112,-6.39446e-08
0,0.000260147,0,0.00055112,-5.97036e-08
0,0,0,0.00055112,-5.59761e-08
0,0.000248914,0,0.00055112,-5.1735e-08
0,0,0,0.000498133,-4.80075e-08
0,0,0,0.000498133,-4.88314e-08
0,0.000244416,0,0.000498133,-4.96552e-08
0,3.37199e-05,0,0.000914135,-5.05926e-08
0,0.000247441,0,0.000914135,-5.153e-08
0,4.66976e-05,0,0.000914135,-5.23539e-08
0,0.000117254,0,0.000914135,-5.32913e-08
0,0.000202065,0,0.000556763,-5.41151e-08
0,0.00013846,0,0.000556763,-5.4939e-08
0,0.000216241,0,0.000556763,-5.12115e-08
0,0.000334582,0,0.000556763,-4.69704e-08
0,0.000192237,0,0.000907197,-4.27294e-08
0,6.01334e-05,0,0.000907197,-3.90019e-08
0,0.000156287,0,0.000907197,-3.47608e-08
0,0.00016389,0,0.00129473,-3.05197e-08
0,6.54545e-05,0,0.00129473,-2.67922e-08
0,0.000138282,0,0.00129473,-2.30647e-08
0,0.000221552,0,0.00129473,-2.38886e-08
0,0.000221462,0,0.00086674,-2.4826e-08
0,8.92441e-05,0,0.00086674,-2.56499e-08
0,0.000229456,0,0.00086674,-2.64737e-08
0,0.000198342,0,0.00086674,-2.74111e-08
0,0.000231608,0,0.000357302,-2.83485e-08
0,0.000200253,0,0.000357302,-2.91724e-08
0,0.000168989,0,0.000357302,-3.01098e-08
0,0.000286525,0,0.000483566,-2.63823e-08
0,3.11567e-05,0,0.000483566,-2.21412e-08
0,0.000130849,0,0.000483566,-1.57158e-08
0,0.000222932,0,0.000483566,-8.40509e-09
0,0.000300458,0,0.000559905,-1.0944e-09
0,0.000214214,0,0.000559905,6.21629e-09
0,0.000236777,0,0.000559905,1.26417e-08
0,0.000220682,0,0.000559905,1.90671e-08
0,0.000210852,0,0.000952069,2.33082e-08
0,4.28353e-05,0,0.000952069,2.70357e-08
0,0.000239361,0,0.000952069,3.07632e-08
0,8.20931e-05,0,0.000952069,3.50043e-08
0,5.04047e-05,0,0.000940927,3.92453e-08
0,0.000139895,0,0.000940927,4.29728e-08
0,0.000237863,0,0.000940927,4.67003e-08
0,0.000233429,0,0.00112698,5.04278e-08
0,0.000238131,0,0.00112698,5.46689e-08
0,0.000213879,0,0.00112698,5.83964e-08
0,4.58704e-05,0,0.00112698,6.26375e-08
0,0.000300938,0,0.000977284,6.6365e-08
0,0.000152772,0,0.000977284,7.0606e-08
0,0,0,0.000977284,7.43335e-08
0,0.000272504,0,0.000977284,8.07589e-08
0,0.000235274,0,0.000439202,8.71843e-08
0,0.000177584,0,0.000439202,9.4495e-08
0,5.20502e-05,0,0.000439202,1.0092e-07
0,3.6304e-05,0,0.00053473,1.02794e-07
0,0.000271304,0,0.00053473,1.04927e-07
0,4.88415e-05,0,0.00053473,1.07059e-07
0,0.000276503,0,0.00053473,1.08933e-07
0,0.000220168,0,0.000994637,1.10807e-07
0,0.000163339,0,0.000994637,1.12939e-07
0,0,0,0.000994637,1.1718e-07
0,0.000232647,0,0.00153508,1.20908e-07
0,0.000274734,0,0.00153508,1.28219e-07
0,5.9703e-05,0,0.00153508,1.34644e-07
0,6.2008e-05,0,0.00153508,1.41069e-07
0,0.000147234,0,0.000433562,1.47495e-07
0,0.000253938,0,0.000433562,1.54805e-07
0,0.000208406,0,0.000433562,1.61231e-07
0,0.000181653,0,0.000433562,1.65472e-07
0,4.46982e-05,0,0.00104389,1.64648e-07
0,0.000128751,0,0.00104389,1.63711e-07
0,3.52485e-05,0,0.00104389,1.62887e-07
0,4.06391e-05,0,0.00104389,1.61949e-07
0,0.000219502,0,0.00121589,1.61126e-07
0,5.52082e-05,0,0.00121589,1.68436e-07
0,0.000240175,0,0.00121589,1.75747e-07
0,0.000114641,0,0.00127427,1.79474e-07
0,0,0,0.00127427,1.83202e-07
0,0.00025134,0,0.00127427,1.87443e-07
0,0.000268519,0,0.00127427,1.91684e-07
0,8.53279e-05,0,0.00109768,1.95412e-07
0,0.000121983,0,0.00109768,1.99653e-07
0,0.000198747,0,0.00109768,2.0338e-07
0,2.71959e-05,0,0.00109768,2.07621e-07
0,0.000210509,0,0.00116096,2.11349e-07
0,0.000130153,0,0.00116096,2.10411e-07
0,0.000174155,0,0.00116096,2.09587e-07
0,0.000227591,0,0.000958257,2.1172e-07
0,0.000117479,0,0.000958257,2.13594e-07
0,0.000218678,0,0.000958257,2.15726e-07
0,6.5572e-05,0,0.000958257,2.176e-07
0,0.000220374,0,3.19593e-05,2.19732e-07
0,0.000123392,0,3.19593e-05,2.18908e-07
0,0.000227001,0,3.19593e-05,2.18085e-07
0,0.000209617,0,3.19593e-05,2.17147e-07
0,0.000242844,0,0.000352525,2.16323e-07
0,0,0,0.000352525,2.15499e-07
0,0.000233756,0,0.000352525,2.14562e-07
0,0.000209845,0,0.000781632,2.13738e-07
0,0,0,0.000781632,2.12801e-07
0,0.00021972,0,0.000781632,2.16528e-07
0,0,0,0.000781632,2.20769e-07
0,0,0,0.000628923,2.2501e-07
0,0,0,0.000628923,2.28738e-07
0,0.0002631,0,0.000628923,2.32465e-07
0,3.78596e-05,0,0.000628923,3.46217e-07
0,0,0,0.000493716,4.75641e-07
0,3.49293e-05,0,0.000493716,5.89393e-07
0,0.0002163,0,0.000493716,6.951e-07
0,0.000189329,0,0.000973292,8.15372e-07
0,0.000311474,0,0.000973292,9.21079e-07
1,0.00111579,0.000125988,0.000973292,3.7558e-06
0,0.000377938,0.000140375,0.000973292,6.11689e-06
1,0.000586093,0.000266362,0.000973292,1.10572e-05
1,0.000939654,0.000400749,0.000821536,1.85443e-05
1,0.00219653,0.000526737,0.000821536,2.73903e-05
1,0.00197309,0.000677419,0.000821536,3.94344e-05
1,0.00353764,0.000833353,0.000665094,5.31042e-05
1,0.00261661,0.00103098,0.000665094,7.11809e-05
1,0.00391062,0.00124361,0.000665094,9.27796e-05
1,0.00385542,0.00147228,0.000665094,0.000116579
1,0.00574946,0.00171563,0.000755307,0.000144139
1,0.00594602,0.00199085,0.000755307,0.000178194
1,0.00739846,0.0022342,0.000755307,0.000213532
1,0.00796051,0.00246288,0.000755307,0.00025219
1,0.00911936,0.00267589,0.000591441,0.000296709
1,0.0105805,0.00284093,0.000591441,0.000343484
1,0.0116687,0.00296667,0.000591441,0.000388927
1,0.0124155,0.00306246,0.000591441,0.000435582
1,0.0142014,0.00313334,0.000580407,0.000486283
1,0.0137603,0.00318884,0.000580407,0.000537748
1,0.0161278,0.00324112,0.000580407,0.000586757
1,0.0176818,0.00333,0.000684001,0.000640748
1,0.020336,0.00348912,0.000684001,0.000694279
1,0.0220302,0.00382795,0.000684001,0.000754239
1,0.0234609,0.00446861,0.0011817,0.000826073
1,0.0256469,0.00562573,0.0011817,0.000925342
1,0.0269958,0.00738044,0.0011817,0.00105747
1,0.0301781,0.00980955,0.0011817,0.00123385
1,0.0308764,0.0126884,0.0011817,0.00144577
1,0.0319419,0.0161028,0.000484196,0.00171292
1,0.0349206,0.0202042,0.000484196,0.002069
1,0.0377958,0.0242315,0.000542935,0.00246267
1,0.0392185,0.0285662,0.000542935,0.00295441
1,0.0410785,0.0324533,0.000542935,0.00347036
1,0.044077,0.036092,0.000542935,0.00403903
1,0.0461274,0.0393697,0.002672,0.00465416
1,0.0488354,0.0425439,0.002672,0.00536026
1,0.0511265,0.0452166,0.002672,0.00605855
1,0.0536507,0.0476023,0.002672,0.00679048
1,0.0570682,0.0497726,0.00541884,0.00755335
1,0.0588656,0.0519472,0.00541884,0.0084019
1,0.0631781,0.0540727,0.00541884,0.00928407
1,0.065424,0.0560625,0.00541884,0.0101399
1,0.0678379,0.0581065,0.00840516,0.0110269
1,0.0710817,0.0604259,0.00840516,0.0120122
1,0.0743926,0.0627889,0.00840516,0.0129718
1,0.0780869,0.0654819,0.0115194,0.014041
1,0.0799658,0.0681991,0.0115194,0.0150844
