行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移
0,0.00027581,0,0.000451712,1.22755e-05
0,2.55793e-05,0,0.000451712,1.24424e-05
0,0,0,0.000451712,1.26322e-05
0,0.000234812,0,0.000451712,1.27991e-05
0,4.24603e-05,0,0.000671777,1.29889e-05
0,4.62271e-05,0,0.000671777,1.31557e-05
0,0.000241604,0,0.000671777,1.33456e-05
0,0.000227694,0,0.00143456,1.35354e-05
0,0.000113643,0,0.00143456,1.37253e-05
0,0.00020173,0,0.00143456,1.38921e-05
0,7.59709e-05,0,0.00143456,1.4082e-05
0,0.000132651,0,0.00102415,1.42488e-05
0,0,0,0.00102415,1.44386e-05
0,0,0,0.00102415,1.46055e-05
0,4.51271e-05,0,0.00102415,1.45777e-05
0,0.000246998,0,7.33856e-05,1.45532e-05
0,0.000237327,0,7.33856e-05,1.45254e-05
0,0.000250251,0,7.33856e-05,1.45009e-05
0,3.47248e-05,0,7.33856e-05,1.44731e-05
0,3.23209e-05,0,0.000777393,1.44453e-05
0,0.000241744,0,0.000777393,1.44208e-05
0,0.000211933,0,0.000777393,1.43953e-05
0,0.000148838,0,0.00122902,1.43697e-05
0,4.27326e-05,0,0.00122902,1.42371e-05
0,6.65565e-05,0,0.00122902,1.41026e-05
0,4.42363e-05,0,0.00122902,1.39495e-05
0,0,0,0.000764443,1.38149e-05
0,0.000256625,0,0.000764443,1.36618e-05
0,0.000200902,0,0.000764443,1.35273e-05
0,0.00028012,0,0.000176595,1.33742e-05
0,0.00012715,0,0.000176595,1.32211e-05
0,0.00012219,0,0.000176595,1.30865e-05
0,0.000257982,0,0.000176595,1.29334e-05
0,4.87005e-05,0,0.000204592,1.27989e-05
0,0,0,0.000204592,1.28634e-05
0,0,0,0.000204592,1.29202e-05
0,3.69069e-05,0,0.000204592,1.29769e-05
0,0.000136542,0,0.000174763,1.31668e-05
0,3.84033e-05,0,0.000174763,1.33336e-05
0,0,0,0.000174763,1.35235e-05
0,0.000259583,0,0.000174763,1.36903e-05
0,0.000248359,0,0.000384445,1.38801e-05
0,0.000163155,0,0.000384445,1.4047e-05
0,0.000185667,0,0.000384445,1.41116e-05
0,0.000248451,0,0.000366165,1.41761e-05
0,0.000254069,0,0.000366165,1.42355e-05
0,0,0,0.000366165,1.43031e-05
0,0.00019047,0,0.000366165,1.43707e-05
0,0.000221228,0,0.000743112,1.44301e-05
0,0.00024895,0,0.000743112,1.44895e-05
0,3.67602e-05,0,0.000743112,1.46564e-05
0,0.000309421,0,0.000743112,1.48462e-05
0,0,0,0.000648555,1.50131e-05
0,0.000188741,0,0.000648555,1.51799e-05
