行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移,编码器位移,组合导航位移
0,3.40816e-05,0,0.000808052,-9.37582e-06,7.86316e-05,7.07471e-05
0,0,0,0.000808052,-9.46709e-06,7.86316e-05,7.14971e-05
0,0.000213801,0,0.000808052,-9.57094e-06,8.20524e-05,7.25012e-05
0,0.000237762,0,0.000808052,-9.66344e-06,8.56188e-05,7.3749e-05
0,0,0,0.000923837,-9.7687e-06,8.56188e-05,7.48781e-05
0,0,0,0.000923837,-9.87395e-06,8.56188e-05,7.58998e-05
0,0.000253108,0,0.000923837,-9.96645e-06,8.94154e-05,7.71855e-05
0,3.19117e-05,0,0.00036212,-1.0059e-05,8.98941e-05,7.83944e-05
0,2.8869e-05,0,0.00036212,-1.01515e-05,9.03271e-05,7.95295e-05
0,0,0,0.00036212,-1.02567e-05,9.03271e-05,8.05566e-05
0,0,0,0.00036212,-1.0458e-05,9.03271e-05,8.1486e-05
0,0,0,0.00092523,-1.06593e-05,9.03271e-05,8.2327e-05
0,0,0,0.00092523,-1.08884e-05,9.03271e-05,8.3088e-05
0,0.000239184,0,0.00092523,-1.10897e-05,9.39149e-05,8.41179e-05
0,2.40308e-05,0,0.00092523,-1.13188e-05,9.42994e-05,8.50865e-05
0,0,0,0.000734204,-1.15478e-05,9.42994e-05,8.59628e-05
0,0,0,0.000734204,-1.17491e-05,9.42994e-05,8.67558e-05
0,4.31988e-05,0,0.000734204,-1.1853e-05,9.49906e-05,8.75392e-05
0,0.000121931,0,0.000370159,-1.19442e-05,9.68195e-05,8.8422e-05
0,0.0004494,0,0.000370159,-1.20453e-05,0.00010401,8.99048e-05
0,0,0,0.000370159,-1.21463e-05,0.00010401,9.12465e-05
0,0,0,0.000370159,-1.22351e-05,0.00010401,9.24606e-05
0,0,0,0.000264573,-1.23362e-05,0.00010401,9.35593e-05
0,0,0,0.000264573,-1.2425e-05,0.00010401,9.45534e-05
0,0,0,0.000264573,-1.25206e-05,0.00010401,9.54529e-05
0,3.92944e-05,0,0.000264573,-1.26046e-05,0.000104599,9.6323e-05
0,0,0,0.000652738,-1.27002e-05,0.000104599,9.71103e-05
0,0,0,0.000652738,-1.27957e-05,0.000104599,9.78227e-05
0,0,0,0.000652738,-1.28846e-05,0.000104599,9.84673e-05
0,0,0,0.000652738,-1.29856e-05,0.000104599,9.90506e-05
0,0.000124648,0,0.00055331,-1.31844e-05,0.000106469,9.97563e-05
0,0,0,0.00055331,-1.34107e-05,0.000106469,0.000100395
0,0,0,0.00055331,-1.36095e-05,0.000106469,0.000100973
0,0.000216337,0,0.000587402,-1.38084e-05,0.000109714,0.000101804
0,0.000212717,0,0.000587402,-1.40346e-05,0.000113118,0.00010288
0,0.000185522,0,0.000587402,-1.41234e-05,0.0001159,0.000104119
0,0.000134891,0,0.000587402,-1.42245e-05,0.000118059,0.000105445
0,2.11258e-05,0,0.000813338,-1.43133e-05,0.000118376,0.000106675
0,3.62086e-05,0,0.000813338,-1.44021e-05,0.000118919,0.00010784
0,0,0,0.000813338,-1.45031e-05,0.000118919,0.000108894
0,0,0,0.000763979,-1.45919e-05,0.000118919,0.000109847
0,0,0,0.000763979,-1.4693e-05,0.000118919,0.00011071
0,5.2941e-05,0,0.000763979,-1.47818e-05,0.000119713,0.000111566
0,0,0,0.000763979,-1.48828e-05,0.000119713,0.000112341
0,0,0,0.000589861,-1.47663e-05,0.000119713,0.000113043
0,0,0,0.000589861,-1.46497e-05,0.000119713,0.000113677
0,0.00020791,0,0.000589861,-1.45472e-05,0.000122831,0.000114548
0,2.23901e-05,0,0.000589861,-1.44447e-05,0.000123167,0.000115368
0,0,0,0.000188422,-1.43281e-05,0.000123167,0.00011611
0,4.05248e-05,0,0.000188422,-1.42257e-05,0.000123775,0.000116839
0,0.000230282,0,0.000188422,-1.41091e-05,0.00012746,0.000117849
0,3.82098e-05,0,0.00119775,-1.40114e-05,0.000128033,0.000118818
0,3.74878e-05,0,0.00119775,-1.39137e-05,0.000128595,0.000119748
0,0,0,0.00119775,-1.37971e-05,0.000128595,0.00012059
0,0,0,0.00119775,-1.36946e-05,0.000128595,0.000121351
0,0.000446872,0,0.000791807,-1.35781e-05,0.000135745,0.00012272
0,0,0,0.000791807,-1.34756e-05,0.000135745,0.000123959
0,0,0,0.000791807,-1.35596e-05,0.000135745,0.00012508
0,0,0,0.000791807,-1.36552e-05,0.000135745,0.000126095
0,0,0,0.000214938,-1.3876e-05,0.000135745,0.000127013
0,0,0,0.000214938,-1.41022e-05,0.000135745,0.000127844
0,0,0,0.000214938,-1.43011e-05,0.000135745,0.000128595
0,2.73563e-05,0,0.000214938,-1.45011e-05,0.000136155,0.000129314
0,0,0,0.000268797,-1.45112e-05,0.000136155,0.000129965
0,0,0,0.000268797,-1.45187e-05,0.000136155,0.000130554
0,0.000199472,0,0.000268797,-1.4421e-05,0.000139148,0.000131371
0,2.73033e-05,0,6.40521e-05,-1.43099e-05,0.000139584,0.000132153
0,3.8933e-05,0,6.40521e-05,-1.42122e-05,0.000140168,0.000132915
0,0,0,6.40521e-05,-1.41145e-05,0.000140168,0.000133605
0,0.000218534,0,6.40521e-05,-1.40121e-05,0.000143446,0.000134541
0,0,0,0.000873798,-1.38955e-05,0.000143446,0.000135388
0,0,0,0.000873798,-1.3793e-05,0.000143446,0.000136155
0,2.50886e-05,0,0.000873798,-1.36905e-05,0.000143823,0.000136884
0,2.59204e-05,0,0.000873798,-1.35881e-05,0.000144212,0.000137581
0,2.50081e-05,0,0.00111858,-1.34856e-05,0.000144587,0.000138248
0,0,0,0.00111858,-1.3369e-05,0.000144587,0.000138851
0,0,0,0.00111858,-1.32665e-05,0.000144587,0.000139396
0,0.000122137,0,0.00170807,-1.31499e-05,0.000146541,0.000140076
0,3.44353e-05,0,0.00170807,-1.30475e-05,0.000147057,0.00014074
0,0,0,0.00170807,-1.2945e-05,0.000147057,0.000141341
0,0,0,0.00170807,-1.28425e-05,0.000147057,0.000141885
0,2.88236e-05,0,0.00130411,-1.28511e-05,0.000147519,0.000142421
0,0,0,0.00130411,-1.28587e-05,0.000147519,0.000142906
0,0,0,0.00130411,-1.28663e-05,0.000147519,0.000143344
0,0,0,0.000912453,-1.28749e-05,0.000147519,0.000143741
0,0,0,0.000912453,-1.28835e-05,0.000147519,0.000144101
0,0,0,0.000912453,-1.27669e-05,0.000147519,0.000144426
0,0,0,0.000912453,-1.26645e-05,0.000147519,0.00014472
0,0,0,0.000445438,-1.2562e-05,0.000147519,0.000144986
0,2.53593e-05,0,0.000445438,-1.24454e-05,0.000147924,0.000145266
0,0,0,0.000445438,-1.23429e-05,0.000147924,0.000145519
0,0,0,0.000445438,-1.22405e-05,0.000147924,0.000145748
0,0.000138823,0,0.000532418,-1.21239e-05,0.000150145,0.000146166
0,0,0,0.000532418,-1.20073e-05,0.000150145,0.000146544
0,0,0,0.000532418,-1.19048e-05,0.000150145,0.000146887
