行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移,编码器位移,组合导航位移
0,0.000178268,0,0,2.0979e-07,1.96095e-06,1.94153e-08
0,3.40143e-05,0,0,7.09836e-07,2.47116e-06,6.72555e-08
0,0.000233443,0,0,1.27878e-06,6.20625e-06,2.4324e-07
0,0.000229286,0,0,1.77882e-06,9.64554e-06,5.93261e-07
0,0.000145225,0,0,2.34776e-06,1.19691e-05,1.10628e-06
0,0.000128434,0,0,2.9167e-06,1.40241e-05,1.78085e-06
0,0.000199277,0,0,3.41675e-06,1.70132e-05,2.6731e-06
0,0.000257184,0,0,3.9168e-06,2.0871e-05,3.84095e-06
0,0.000146213,0,0,4.48574e-06,2.32104e-05,5.17846e-06
0,0.000252854,0,0,4.68476e-06,2.70032e-05,6.77737e-06
0,5.05954e-05,0,0,4.88816e-06,2.77622e-05,8.3903e-06
0,4.08382e-05,0,0,5.09155e-06,2.83747e-05,9.98745e-06
0,0.00013034,0,0,5.32297e-06,3.04602e-05,1.16765e-05
0,0.000244888,0,0,5.55438e-06,3.43784e-05,1.35986e-05
0,0.000255407,0,0,5.7858e-06,3.84649e-05,1.57491e-05
0,4.42742e-05,0,0,6.01224e-06,3.91733e-05,1.78103e-05
0,9.34471e-05,0,0,6.21127e-06,4.0575e-05,1.98419e-05
0,0.0001524,0,0,6.43772e-06,4.30134e-05,2.1934e-05
0,0.000113578,0,0,6.63674e-06,4.4717e-05,2.40106e-05
0,0.00022151,0,0,6.83577e-06,4.80397e-05,2.62178e-05
0,0.000195789,0,0.000343844,7.06222e-06,5.11723e-05,2.85245e-05
0,0.000239151,0,0.000343844,7.28867e-06,5.49987e-05,3.09845e-05
0,4.30385e-05,0,0.000343844,7.51511e-06,5.56874e-05,3.32897e-05
0,0.000242925,0,0.000343844,7.71414e-06,5.93312e-05,3.57283e-05
0,0.000225999,0,0.00106463,7.91316e-06,6.27212e-05,3.82632e-05
0,0.000152509,0,0.00106463,8.22213e-06,6.50089e-05,4.07807e-05
0,0.000120448,0,0.00106463,8.57367e-06,6.6936e-05,4.32474e-05
0,0.000249227,0,0.00168398,8.88263e-06,7.06744e-05,4.5838e-05
0,6.06541e-05,0,0.00168398,9.23417e-06,7.16449e-05,4.82787e-05
