行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移,编码器位移,组合导航位移
0,0,0,0,1.77542e-07,0,0
0,0,0,0,3.5413e-07,0,0
0,0,0,0,4.04551e-07,0,0
0,0,0,0,3.37977e-07,0,0
0,0,0,0,2.61277e-07,0,0
0,0,0,0,1.94703e-07,0,0
0,3.05112e-05,0,0,1.28129e-07,4.57667e-07,2.68081e-08
0,0,0,0,1.7855e-07,4.57667e-07,5.44584e-08
0,0,0,0,2.29925e-07,4.57667e-07,8.23011e-08
0,0,0,0,3.86001e-07,4.57667e-07,1.09801e-07
0,0.000121396,0,0,5.59254e-07,2.4e-06,2.85829e-07
0,3.53755e-05,0,0,6.01477e-07,2.93063e-06,4.97201e-07
0,3.13427e-05,0,0,6.437e-07,3.40077e-06,7.36749e-07
0,0,0,0,6.9174e-07,3.40077e-06,9.62309e-07
0,0,0,0,7.39781e-07,3.40077e-06,1.17319e-06
0,2.1524e-05,0,0,7.81145e-07,3.72363e-06,1.39761e-06
0,0.000259323,0,0,8.2717e-07,7.61347e-06,1.95236e-06
0,0.000239974,0,0.000427708,9.99447e-07,1.14531e-05,2.81014e-06
0,4.49754e-05,0,0.000427708,1.15083e-06,1.21277e-05,3.65939e-06
0,3.66596e-05,0,0.000427708,1.32402e-06,1.27142e-05,4.49112e-06
0,4.66623e-05,0,0.000896074,1.17489e-06,1.34142e-05,5.31597e-06
0,2.78285e-05,0,0.000896074,1.02576e-06,1.38316e-05,6.10725e-06
0,0,0,0.000896074,8.76633e-07,1.38316e-05,6.82806e-06
0,0,0,0.000896074,7.27504e-07,1.38316e-05,7.48388e-06
0,0.000133306,0,0.00060083,6.82084e-07,1.59645e-05,8.28029e-06
0,0,0,0.00060083,6.35706e-07,1.59645e-05,9.00359e-06
0,0.000225957,0,0.00060083,7.14546e-07,1.95798e-05,1.0001e-05
0,0,0,0.00060083,6.77627e-07,1.95798e-05,1.09058e-05
0,0,0,0.000489112,6.41546e-07,1.95798e-05,1.17261e-05
0,0,0,0.000489112,4.75284e-07,1.95798e-05,1.24697e-05
0,0.000120952,0,0.000489112,5.20438e-07,2.13941e-05,1.33153e-05
0,0,0,0.000672995,4.46599e-07,2.13941e-05,1.40814e-05
0,0,0,0.000672995,3.71806e-07,2.13941e-05,1.47752e-05
0,0.000202611,0,0.000672995,3.0607e-07,2.44333e-05,1.5692e-05
0,0,0,0.000672995,2.31278e-07,2.44333e-05,1.6522e-05
0,0.000221189,0,0.000992009,1.56485e-07,2.79723e-05,1.76097e-05
0,0,0,0.000992009,8.26459e-08,2.79723e-05,1.85943e-05
0,0,0,0.000992009,-9.52876e-08,2.79723e-05,1.94855e-05
0,0,0,0.000992009,-2.96783e-07,2.79723e-05,2.02922e-05
0,0,0,0.00120111,-4.98278e-07,2.79723e-05,2.10223e-05
0,3.81696e-05,0,0.00120111,-6.76211e-07,2.85448e-05,2.17375e-05
0,0,0,0.00120111,-6.34881e-07,2.85448e-05,2.23848e-05
0,0,0,0.00120111,-3.34033e-07,2.85448e-05,2.29705e-05
0,0,0,0.000824045,1.48807e-07,2.85448e-05,2.35006e-05
0,0.000221681,0,0.000824045,8.21474e-07,3.20917e-05,2.43177e-05
0,4.59701e-05,0,0.000824045,1.41268e-06,3.27813e-05,2.51226e-05
0,0,0,0.000420851,1.96205e-06,3.27813e-05,2.5851e-05
0,0.000130749,0,0.000420851,2.0443e-06,3.48732e-05,2.67091e-05
