行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移,编码器位移,组合导航位移
0,6.87206e-05,0,0,2.38406e-07,1.37441e-06,1.3608e-08
0,0.000172371,0,0,3.72509e-07,3.95998e-06,9.06123e-08
0,6.14091e-05,0,0,3.96575e-07,4.88112e-06,2.2794e-07
0,0.000118418,0,0,4.23957e-07,6.77581e-06,4.71699e-07
0,0.000220154,0,0,3.37988e-07,1.00781e-05,9.04923e-07
0,0.000107827,0,0,2.50048e-07,1.16955e-05,1.46841e-06
0,0.000227053,0,0,1.37094e-07,1.55554e-05,2.29357e-06
0,3.81493e-05,0,0,6.04887e-08,1.60895e-05,3.17892e-06
0,0.000241898,0,0,8.78701e-08,1.99599e-05,4.33769e-06
0,7.37256e-05,0,0,1.09934e-07,2.11395e-05,5.56861e-06
0,0.000211768,0,0,1.29325e-07,2.4316e-05,7.00957e-06
0,0.000145584,0,0,1.48717e-07,2.64998e-05,8.56722e-06
0,4.18494e-05,0,0,1.7078e-07,2.71694e-05,1.01019e-05
0,0.000121841,0,0,1.88201e-07,2.8997e-05,1.17018e-05
0,3.50515e-05,0,0,9.55866e-08,2.95228e-05,1.3243e-05
0,0.000177214,0,0,1.15407e-07,3.23582e-05,1.49249e-05
0,0.000159863,0,0,1.32827e-07,3.47561e-05,1.66948e-05
0,0.000212347,0,0,1.54922e-07,3.79413e-05,1.86131e-05
0,0.000207533,0,0,1.82303e-07,4.12619e-05,2.06774e-05
0,0.000283471,0,0,2.09684e-07,4.57974e-05,2.29848e-05
0,0.000125094,0,0,2.3375e-07,4.76738e-05,2.52671e-05
0,0.00021529,0,0,2.57816e-07,5.09032e-05,2.76492e-05
0,0.000187896,0,0.00019176,2.81882e-07,5.37216e-05,3.00822e-05
0,0.000180625,0,0.00019176,3.03945e-07,5.66116e-05,3.25664e-05
0,0.000132627,0,0.00019176,3.23337e-07,5.8601e-05,3.50113e-05
0,0.000210709,0,0.00019176,3.454e-07,6.19723e-05,3.75491e-05
0,0.000151463,0,1.54691e-05,3.64792e-07,6.42443e-05,4.00667e-05
0,0.000263645,0,1.54691e-05,3.84184e-07,6.8199e-05,4.27239e-05
0,0.000181835,0,1.54691e-05,4.06247e-07,7.11083e-05,4.54084e-05
0,4.6797e-05,0,1.54691e-05,4.25639e-07,7.18103e-05,4.7908e-05
0,0.00020502,0,0.0002828,4.47702e-07,7.50906e-05,5.04838e-05
0,6.30085e-05,0,0.0002828,4.69766e-07,7.60987e-05,5.29127e-05
0,0.000207688,0,0.0002828,4.87186e-07,7.92141e-05,5.54081e-05
0,0.00023629,0,0.000123439,5.04606e-07,8.27584e-05,5.80043e-05
0,0.000172429,0,0.000123439,5.22026e-07,8.53448e-05,6.06005e-05
0,0.00022032,0,0.000123439,5.4409e-07,8.887e-05,6.32858e-05
0,0.000241841,0,0.000123439,5.66153e-07,9.27394e-05,6.60843e-05
0,0.000243994,0,0.000318643,5.85545e-07,9.63993e-05,6.89653e-05
0,0,0,0.000318643,6.07608e-07,9.63993e-05,7.15729e-05
0,0.000135315,0,0.000318643,6.23898e-07,9.84291e-05,7.41259e-05
0,0.000194324,0,0.000318643,6.42433e-07,0.000101538,7.67322e-05
0,0.000178991,0,0.000770636,6.61426e-07,0.000104223,7.93461e-05
0,0.00022786,0,0.000770636,6.8352e-07,0.000107641,8.20367e-05
0,0.000175461,0,0.000770636,7.08659e-07,0.000110448,8.47386e-05
0,0.000215768,0,0.00109082,7.30753e-07,0.000113685,8.74915e-05
0,0,0,0.00109082,7.52847e-07,0.000113685,8.99826e-05
0,0.000195032,0,0.00109082,7.74941e-07,0.00011661,9.25152e-05
0,0.000209958,0,0.00109082,7.92362e-07,0.00011976,9.51065e-05
0,0.000236576,0,0.00102784,8.12182e-07,0.000123545,9.78114e-05
0,4.73399e-05,0,0.00102784,8.32003e-07,0.000124302,0.000100331
0,0.000212218,0,0.00102784,8.49423e-07,0.000127486,0.000102914
0,0.000212886,0,0.000764813,8.66843e-07,0.000130679,0.000105555
0,0.000142167,0,0.000764813,8.86663e-07,0.000132954,0.000108161
0,0.000110702,0,0.000764813,9.04084e-07,0.000134614,0.000110677
0,0.000211012,0,0.000764813,9.23904e-07,0.00013799,0.000113275
0,6.50889e-05,0,0.000775599,9.45998e-07,0.000138967,0.000115719
