行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移,编码器位移,组合导航位移
0,0.000336945,0,0,2.84732e-08,5.72807e-06,5.67135e-08
0,6.29399e-05,0,0,5.0641e-08,6.67216e-06,1.85799e-07
0,0,0,0,7.5863e-08,6.67216e-06,3.71741e-07
0,4.23128e-05,0,0,-1.20203e-08,7.30686e-06,6.29916e-07
0,2.10259e-05,0,0,-1.17319e-07,7.64327e-06,9.462e-07
0,0,0,0,-2.09867e-07,7.64327e-06,1.29592e-06
0,5.29246e-05,0,0,-3.15166e-07,8.49006e-06,1.71732e-06
0,2.76268e-05,0,0,-4.07713e-07,8.90447e-06,2.17856e-06
0,5.12872e-05,0,0,-5.001e-07,9.67377e-06,2.69612e-06
0,0,0,0,-6.05216e-07,9.67377e-06,3.20731e-06
0,0.00018393,0,0,-6.97763e-07,1.24327e-05,3.91639e-06
0,0,0,0,-6.77849e-07,1.24327e-05,4.59702e-06
0,4.13742e-05,0,0,-6.52627e-07,1.30947e-05,5.29809e-06
0,0,0,0,-6.27405e-07,1.30947e-05,5.95822e-06
0,0.000233542,0,0,-6.05237e-07,1.65978e-05,6.87836e-06
0,5.17545e-05,0,0,-5.83069e-07,1.73742e-05,7.80191e-06
0,0,0,0,-5.57847e-07,1.73742e-05,8.6562e-06
0,0.000124837,0,0,-5.32625e-07,1.93715e-05,9.62365e-06
0,0.000244899,0,0,-5.15122e-07,2.3045e-05,1.08469e-05
0,0.000205394,0,0.00134049,-4.95207e-07,2.63313e-05,1.22693e-05
0,0.000414787,0,0.00134049,-4.75292e-07,3.29679e-05,1.41826e-05
0,0.000481352,0,0.00134049,-4.57789e-07,4.01882e-05,1.65991e-05
0,0.000233513,0,0.00134049,-4.40285e-07,4.36909e-05,1.91272e-05
0,3.28052e-05,0,0.00204127,-4.22621e-07,4.4183e-05,2.14735e-05
0,0,0,0.00204127,-5.27737e-07,4.4183e-05,2.36061e-05
0,5.03582e-05,0,0.00204127,-6.32853e-07,4.49887e-05,2.56188e-05
0,4.07416e-05,0,0.00204127,-7.38151e-07,4.56406e-05,2.7507e-05
0,0.000460216,0,0.00215551,-8.30699e-07,5.25438e-05,2.98719e-05
0,0.000537354,0,0.00215551,-8.13196e-07,6.06041e-05,3.27784e-05
0,0.000219895,0,0.00215551,-7.93281e-07,6.41224e-05,3.57459e-05
0,3.84303e-05,0,0.00215551,-7.73366e-07,6.47373e-05,3.84931e-05
