行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移,编码器位移,组合导航位移
0,0,0,0,2.27171e-07,0,0
0,0,0,0,3.83477e-07,0,0
0,3.22101e-05,0,0,5.38331e-07,4.83151e-07,1.20788e-07
0,2.28364e-05,0,0,7.12869e-07,8.48534e-07,2.66337e-07
0,0,0,0,7.60549e-07,8.48534e-07,3.6337e-07
0,0,0,0,6.83023e-07,8.48534e-07,4.32679e-07
0,3.94664e-05,0,0,6.1343e-07,1.44053e-06,5.58661e-07
0,0,0,0,5.43837e-07,1.44053e-06,6.56646e-07
0,0,0,0,4.74243e-07,1.44053e-06,7.35035e-07
0,0,0,0,3.95062e-07,1.44053e-06,7.99171e-07
0,0,0,0,3.1588e-07,1.44053e-06,8.52617e-07
0,0,0,0,3.61905e-07,1.44053e-06,8.97841e-07
0,0,0,0,4.03811e-07,1.44053e-06,9.36605e-07
0,5.48097e-05,0,0,4.45717e-07,2.26268e-06,1.02501e-06
0,0,0,0,4.89075e-07,2.26268e-06,1.10236e-06
0,0,0,0,6.42478e-07,2.26268e-06,1.17062e-06
0,0,0,0,8.17016e-07,2.26268e-06,1.23129e-06
0,0,0,0.000430137,9.70418e-07,2.26268e-06,1.28557e-06
0,0,0,0.000430137,1.12382e-06,2.26268e-06,1.33443e-06
0,3.55543e-05,0,0.000430137,1.1715e-06,2.83155e-06,1.40572e-06
0,2.96919e-05,0,0.000430137,1.21341e-06,3.27692e-06,1.49077e-06
0,0,0,0.00111067,1.26109e-06,3.27692e-06,1.56843e-06
0,0,0,0.00111067,1.30299e-06,3.27692e-06,1.63962e-06
0,3.25799e-05,0,0.00111067,1.3449e-06,3.76562e-06,1.72466e-06
0,0,0,0.00111067,1.39258e-06,3.76562e-06,1.80316e-06
0,0,0,0.00110813,1.43449e-06,3.76562e-06,1.87584e-06
0,0,0,0.00110813,1.47784e-06,3.76562e-06,1.94333e-06
0,0,0,0.00110813,1.52718e-06,3.76562e-06,2.00617e-06
0,0,0,0.00110813,1.57053e-06,3.76562e-06,2.06482e-06
0,0,0,0.000876913,1.49466e-06,3.76562e-06,2.11968e-06
0,0,0,0.000876913,1.42797e-06,3.76562e-06,2.17112e-06
0,0,0,0.000876913,1.35738e-06,3.76562e-06,2.21944e-06
0,3.35579e-05,0,0.00117809,1.29679e-06,4.26899e-06,2.27972e-06
0,3.30181e-05,0,0.00117809,1.2362e-06,4.76426e-06,2.35071e-06
0,4.26297e-05,0,0.00117809,1.28101e-06,5.40371e-06,2.43551e-06
0,3.64572e-05,0,0.00117809,1.32436e-06,5.95057e-06,2.53051e-06
0,0,0,0.0009691,1.3737e-06,5.95057e-06,2.62051e-06
0,2.82948e-05,0,0.0009691,1.42303e-06,6.40328e-06,2.71751e-06
0,0,0,0.0009691,1.57643e-06,6.40328e-06,2.80965e-06
0,0,0,0.000658941,1.74932e-06,6.40328e-06,2.8973e-06
0,0,0,0.000658941,1.90127e-06,6.40328e-06,2.98078e-06
0,0.000237376,0,0.000658941,2.07052e-06,1.02013e-05,3.1487e-06
