行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移,编码器位移,组合导航位移
0,0.000147734,0,0,-1.09063e-08,2.21601e-06,1.108e-06
0,0.000210953,0,0,-2.18126e-08,5.38031e-06,2.53211e-06
0,0,0,0,-3.42215e-08,5.38031e-06,3.24416e-06
0,0.000238456,0,0,-4.66304e-08,9.1956e-06,4.43445e-06
0,0.000247147,0,0,-6.03195e-08,1.29028e-05,5.84584e-06
0,0.000155295,0,0,-7.40086e-08,1.52322e-05,7.18675e-06
0,0.000110867,0,0,-8.95837e-08,1.70061e-05,8.41417e-06
0,0,0,0,-1.05159e-07,1.70061e-05,9.36883e-06
0,0.000213899,0,0,-1.20734e-07,2.04285e-05,1.04748e-05
0,0.000219142,0,0,-1.3164e-07,2.37156e-05,1.16785e-05
0,0.000220949,0,0,-1.44049e-07,2.72508e-05,1.29762e-05
0,0.000248389,0,0,-1.56458e-07,3.1225e-05,1.438e-05
0,0.000229631,0,0,-1.68867e-07,3.48991e-05,1.58456e-05
0,2.66645e-05,0,0,-1.79773e-07,3.52991e-05,1.71425e-05
0,0.000123898,0,0,-1.9068e-07,3.71576e-05,1.83935e-05
0,0.000198351,0,0,-3.28283e-07,4.03312e-05,1.96839e-05
0,0,0,0,-3.36407e-07,4.03312e-05,2.0831e-05
0,5.19798e-05,0,0,-3.45649e-07,4.11629e-05,2.19011e-05
0,0.000238546,0,0,-3.53773e-07,4.4741e-05,2.30431e-05
0,0.000113419,0,0,-3.63016e-07,4.65558e-05,2.41627e-05
0,5.29486e-05,0,0,-3.72258e-07,4.74029e-05,2.52191e-05
0,0.00021664,0,0.000317129,-3.80382e-07,5.06525e-05,2.63249e-05
0,2.43538e-05,0,0.000317129,-3.91288e-07,5.10178e-05,2.73538e-05
0,0.000157796,0,0.000317129,-4.03697e-07,5.35426e-05,2.84013e-05
0,8.41532e-05,0,0.000317129,-4.14603e-07,5.48049e-05,2.94168e-05
0,9.19934e-05,0,0.00215284,-4.27012e-07,5.62768e-05,3.04117e-05
0,0,0,0.00215284,-4.37919e-07,5.62768e-05,3.13354e-05
