行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移,编码器位移,组合导航位移
0,0.000174897,0,0,1.66867e-07,1.57407e-06,7.87035e-07
0,0.000123055,0,0,8.21131e-07,3.54295e-06,1.70567e-06
0,3.79319e-05,0,0,1.72674e-06,4.14986e-06,2.31672e-06
0,0.000201923,0,0,2.63244e-06,7.38064e-06,3.32951e-06
0,0.000183746,0,0,3.213e-06,1.01368e-05,4.46406e-06
0,7.18273e-05,0,0,3.49976e-06,1.12861e-05,5.43863e-06
0,0.0001411,0,0,3.42629e-06,1.34026e-05,6.43412e-06
0,6.64288e-05,0,0,3.24432e-06,1.4399e-05,7.31911e-06
0,4.55094e-05,0,0,2.91206e-06,1.51271e-05,8.09991e-06
0,0,0,0,2.7015e-06,1.51271e-05,8.73875e-06
0,0.000182778,0,0,2.73344e-06,1.78688e-05,9.49959e-06
0,0.000139823,0,0,3.02363e-06,2.0106e-05,1.03155e-05
0,0.000329639,0,0,3.56248e-06,2.53802e-05,1.13915e-05
0,2.78493e-05,0,0,4.03763e-06,2.5798e-05,1.23519e-05
0,0.000228064,0,0,4.45478e-06,2.9447e-05,1.34204e-05
0,0.000186056,0,0,4.62328e-06,3.24239e-05,1.45382e-05
0,3.61825e-05,0,0,4.54826e-06,3.29666e-05,1.5562e-05
0,0.000246742,0,0.000525832,4.3377e-06,3.69145e-05,1.66858e-05
0,0.000201646,0,0.000525832,4.12714e-06,4.01408e-05,1.78586e-05
0,0.000105456,0,0.000525832,4.05514e-06,4.17226e-05,1.8995e-05
0,0.000139626,0,0.000525832,4.09667e-06,4.39567e-05,2.01296e-05
0,5.14662e-05,0,0.00122658,4.26165e-06,4.47801e-05,2.12014e-05
0,0.000135823,0,0.00122658,4.5167e-06,4.68175e-05,2.22687e-05
0,0,0,0.00122658,4.80689e-06,4.68175e-05,2.32506e-05
0,6.4254e-05,0,0.00077134,4.95343e-06,4.77813e-05,2.41941e-05
0,4.68898e-05,0,0.00077134,4.98692e-06,4.84846e-05,2.50938e-05
0,0,0,0.00077134,4.91492e-06,4.84846e-05,2.59292e-05
0,0.000230823,0,0.000434347,4.70435e-06,5.21778e-05,2.68343e-05
0,0.000236671,0,0.000434347,4.49898e-06,5.59645e-05,2.78053e-05
0,0.000246536,0,0.000434347,4.42697e-06,5.96626e-05,2.8833e-05
0,0.000236165,0,0.000434347,4.59371e-06,6.34412e-05,2.99145e-05
0,0,0,0.001125,4.88566e-06,6.34412e-05,3.09304e-05
0,0.000234079,0,0.001125,5.14225e-06,6.69524e-05,3.19899e-05
0,0,0,0.001125,5.39885e-06,6.69524e-05,3.29888e-05
0,4.29135e-05,0,0.001125,5.69256e-06,6.7639e-05,3.39513e-05
0,0.000168769,0,0.000697586,5.83764e-06,7.01705e-05,3.49302e-05
0,6.62568e-05,0,0.000697586,5.87749e-06,7.12307e-05,3.58855e-05
0,4.14745e-05,0,0.000697586,5.91253e-06,7.18528e-05,3.68077e-05
0,0.000232311,0,0.000697586,6.08102e-06,7.55697e-05,3.77768e-05
0,0.000206024,0,0.000529204,6.24257e-06,7.88661e-05,3.8779e-05
0,0.000183813,0,0.000529204,6.49461e-06,8.16233e-05,3.97991e-05
0,0.000220525,0,0.000529204,6.7848e-06,8.51517e-05,4.08538e-05
0,0.00017774,0,0.000458006,7.03529e-06,8.78178e-05,4.19211e-05
0,4.25173e-05,0,0.000458006,7.17728e-06,8.84556e-05,4.29552e-05
0,0.000274147,0,0.000458006,7.21538e-06,9.28419e-05,4.40397e-05
0,0,0,0.000458006,7.25348e-06,9.28419e-05,4.50781e-05
0,0.000136022,0,0.000456601,7.17846e-06,9.48823e-05,4.61157e-05
0,0,0,0.000456601,7.09135e-06,9.48823e-05,4.71109e-05
0,0.000211481,0,0.000456601,7.12945e-06,9.8266e-05,4.8134e-05
0,0.00026561,0,0.00119682,7.27144e-06,0.00010225,4.91951e-05
0,0.000209153,0,0.00119682,7.43299e-06,0.000105597,5.02798e-05
0,3.45402e-05,0,0.00119682,7.68503e-06,0.000106115,5.13332e-05
0,0.000246862,0,0.00119682,7.97179e-06,0.000110064,5.24209e-05
0,0.000222629,0,0.00179058,8.13335e-06,0.000113627,5.35337e-05
0,0.000171011,0,0.00179058,8.27688e-06,0.000116192,5.46526e-05
0,0,0,0.00179058,8.31492e-06,0.000116192,5.57322e-05
