行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移,编码器位移,组合导航位移
0,0.000217786,0,0,-3.24211e-07,4.57351e-06,2.28676e-06
0,0.000235771,0,0,-3.92633e-07,8.34584e-06,4.30645e-06
0,0.000282197,0,0,-4.55726e-07,1.2861e-05,6.44509e-06
0,0.000226655,0,0,-5.01812e-07,1.62608e-05,8.40823e-06
0,0.000273856,0,0,-5.38527e-07,2.03687e-05,1.04016e-05
0,0,0,0,-6.80521e-07,2.03687e-05,1.18255e-05
0,0.00012413,0,0,-9.6719e-07,2.23548e-05,1.31417e-05
0,0,0,0,-1.22851e-06,2.23548e-05,1.41653e-05
0,4.86458e-05,0,0,-1.53142e-06,2.31331e-05,1.50621e-05
0,4.92107e-05,0,0,-1.80702e-06,2.38712e-05,1.58629e-05
0,0,0,0,-1.78622e-06,2.38712e-05,1.65303e-05
0,0.000108382,0,0,-1.63743e-06,2.56054e-05,1.72284e-05
0,0.000206913,0,0,-1.57566e-06,2.8916e-05,1.80632e-05
0,0.000194629,0,0,-1.29677e-06,3.18354e-05,1.89814e-05
0,7.48146e-05,0,0,-1.01297e-06,3.29576e-05,1.98549e-05
0,0.000251687,0,0,-7.2448e-07,3.67329e-05,2.08477e-05
0,0.000181354,0,0,-6.46213e-07,3.96346e-05,2.18914e-05
0,0.000197095,0,0,-8.12846e-07,4.27881e-05,2.29912e-05
0,0.000162947,0,0,-1.17454e-06,4.52323e-05,2.41033e-05
0,0.000220509,0,0,-1.6462e-06,4.85399e-05,2.52669e-05
0,0.00024511,0,0,-2.03666e-06,5.22166e-05,2.64919e-05
0,3.62303e-05,0,0,-2.32185e-06,5.276e-05,2.7634e-05
0,3.61379e-05,0,0.00114878,-2.39647e-06,5.33021e-05,2.87035e-05
0,4.19205e-05,0,0.00114878,-2.24208e-06,5.39728e-05,2.97143e-05
0,0.000101228,0,0.00114878,-1.89583e-06,5.54913e-05,3.07057e-05
0,5.3441e-05,0,0.00114878,-1.43985e-06,5.62929e-05,3.16534e-05
