行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移,编码器位移,qr_code_num,qr_code_x,qr_code_y,qr_code_r,x_slam,y_slam,组合导航位移
0,0.000135387,0,0,1.25619e-07,2.30158e-06,472,0.004,0.0055,359.8,0,0,2.2788e-08
0,0.000132975,0,0,2.23419e-07,4.2962e-06,472,0.004,0.0054,359.9,0,0,1.06174e-07
0,5.11176e-05,0,0,3.33866e-07,5.11409e-06,472,0.004,0.0054,359.9,0,0,2.49734e-07
0,0.000161627,0,0,5.73243e-07,7.70012e-06,472,0.004,0.0054,359.9,0,0,5.27091e-07
0,0.00134811,0,0,6.86518e-07,2.92699e-05,472,0.0041,0.0054,0,0,0,1.82332e-06
0,0.000744364,0,0,7.86075e-07,4.04354e-05,472,0.0041,0.0054,359.9,0,0,3.83965e-06
0,0.00146669,0,0,8.96523e-07,6.39025e-05,472,0.0041,0.0054,359.9,0,0,7.35786e-06
0,0.00098925,0,0,9.96808e-07,7.87412e-05,472,0.0041,0.0054,359.9,0,0,1.19389e-05
1,0.00248379,0.00012554,0,3.82146e-06,0.000352998,472,0.0041,0.0056,359.8,0,0,3.7243e-05
1,0.00280782,0.000259906,0,9.05489e-06,0.000650723,472,0.0041,0.0056,359.8,0,0,8.60412e-05
1,0.00496288,0.000385446,0,1.57781e-05,0.000962166,472,0.0041,0.0056,359.8,0,0,0.000158719
1,0.00498699,0.000535368,0,2.55434e-05,0.00129476,472,0.0041,0.0055,359.9,0,0,0.000257392
1,0.00673843,0.000675492,0,3.67267e-05,0.00163283,472,0.0042,0.0055,359.9,0,0,0.000380164
1,0.00751105,0.000825414,0,5.11327e-05,0.00200581,472,0.0041,0.0054,0,0,0,0.000529895
1,0.00882652,0.000940475,0,6.61028e-05,0.00237521,472,0.0041,0.0054,0,0,0,0.000702369
1,0.00980829,0.00106321,0,8.40959e-05,0.00278494,472,0.0041,0.0054,0,0,0,0.000901134
1,0.0121777,0.00123689,0,0.000103952,0.00320461,472,0.0041,0.0056,359.8,0,0,0.00112361
1,0.0143409,0.00149803,0,0.000128381,0.00365672,472,0.0041,0.0056,359.8,0,0,0.00137276
1,0.0168949,0.00198005,0,0.000163918,0.00417984,472,0.0041,0.0056,359.8,0.00246147,0.0074401,0.0016574
1,0.0181691,0.0027756,0,0.000214692,0.00472334,472,0.0042,0.0055,359.9,0.00246147,0.0074401,0.00197935
1,0.0196559,0.00386367,0,0.000280807,0.00525518,472,0.0042,0.0054,359.9,0.00246147,0.0074401,0.00233477
1,0.0226363,0.00549478,0,0.000381773,0.00587016,472,0.0041,0.0054,359.9,0.00246147,0.0074401,0.00274303
1,0.0244866,0.00746478,0.000778531,0.000508519,0.00647446,472,0.0041,0.0054,359.9,0.0017382,0.00715202,0.00319275
1,0.0269368,0.00994362,0.000778531,0.000687448,0.00715825,472,0.0041,0.0054,359.8,0.0017382,0.00715202,0.00370829
1,0.0300296,0.0127365,0.000778531,0.000913576,0.00789153,472,0.0044,0.0054,359.8,0.0017382,0.00715202,0.00428578
1,0.0319882,0.0155612,0.00029156,0.00116818,0.00860835,472,0.0044,0.0054,359.8,0.00245966,0.00773166,0.0049041
1,0.0344273,0.01843,0.00029156,0.00146614,0.00936176,472,0.0044,0.0055,359.8,0.00245966,0.00773166,0.00557487
1,0.0393418,0.0214,0.00029156,0.0018323,0.010244,472,0.0051,0.0055,359.8,0.00245966,0.00773166,0.00632596
1,0.0409983,0.0242908,0.00029156,0.00224408,0.0111528,472,0.006,0.0055,359.8,0.00245966,0.00773166,0.00713436
1,0.0437572,0.027086,0.0011414,0.00269982,0.0121057,472,0.006,0.0055,359.8,0.00359922,0.00753143,0.00799737
1,0.048277,0.0296457,0.0011414,0.0031637,0.0130669,472,0.006,0.0055,359.8,0.00359922,0.00753143,0.00888029
1,0.050481,0.0324223,0.0011414,0.00370468,0.0141274,472,0.0072,0.0057,359.8,0.00359922,0.00753143,0.0098474
1,0.0545137,0.0351282,0.0011414,0.00425189,0.0151821,472,0.0072,0.0057,359.8,0.00359922,0.00753143,0.0108305
1,0.0570059,0.0382655,0.00251963,0.00488924,0.016347,472,0.0072,0.0057,359.8,0.00497691,0.00758538,0.0119082
