dt,acc_x,acc_y,gyr_x,gyr_y,r_imu,p_imu,y_imu,r_cal,p_cal,y_cal,ax_n_imu,ay_n_imu,ax_n_cal,ay_n_cal,ax_n_cal_kalman,dax_n_cal_kalman,dax_n_imu,dax_n_cal
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0155865,-0.123851,0,-0.000284432,0.000460255,0.0024591,-0.00028952,0.00496125,0.000313895,0.000979131,0.000779789
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0157143,-0.124936,0,-0.000284432,0.000460255,0.00227469,-0.00026781,0.00465515,0.000306103,0,0.000184402
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0158324,-0.125939,0,-0.000286825,0.000460597,0.00210214,-0.00024748,0.00435728,0.00029787,2.3935e-06,0.00017255
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0159416,-0.126867,0,-0.000286825,0.000460597,0.00194452,-0.000228923,0.00406831,0.000288967,0,0.000157626
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0160426,-0.127725,0,-0.000286825,0.000460597,0.00179871,-0.000211758,0.00378863,0.000279684,0,0.000145806
0.016,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0161427,-0.128572,0,-0.000286825,0.000460597,0.00165486,-0.00019476,0.00351778,0.000270844,0,0.000143854
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.016229,-0.129302,0,-0.000286825,0.000460597,0.00153078,-0.0001801,0.00325682,0.000260969,0,0.000124076
0.015,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0163088,-0.129545,0,-0.00126596,0.000460597,0.000510311,-0.000166539,0.00293234,0.000324473,0.000979131,0.00102047
0.016,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0163875,-0.129785,0,-0.00126596,0.000460597,0.000469532,-0.000153159,0.00262828,0.000304062,0,4.07789e-05
0.015,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0164551,-0.129992,0,-0.00126596,0.000460597,0.000434345,-0.000141676,0.00234373,0.000284551,0,3.51872e-05
0.015,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0165176,-0.130184,0,-0.00126596,0.000460597,0.000401799,-0.000131054,0.00207761,0.000266123,0,3.2546e-05
0.016,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0165793,-0.130373,0,-0.00126596,0.000460597,0.000369688,-0.000120574,0.00182871,0.000248892,0,3.21101e-05
0.015,-0.0225201,0.0029374,0,0.01,-0.02,-0.14,0,-0.0166325,-0.130386,0,-0.00126596,0.000460597,0.000367476,-0.000111535,0.00159832,0.00023039,0,2.21282e-06
0.016,-0.0225201,0.0029374,0,0.01,-0.02,-0.14,0,-0.0166854,-0.130399,0,-0.00126596,0.000460597,0.0003653,-0.000102554,0.00138519,0.000213137,0,2.17557e-06
