dt,acc_x,acc_y,gyr_x,gyr_y,r_imu,p_imu,y_imu,r_cal,p_cal,y_cal,ax_n_imu,ay_n_imu,ax_n_cal,ay_n_cal,ax_n_cal_kalman,dax_n_imu,dax_n_cal,
0.015,-0.0244783,0.00195827,0,0,-0.01,-0.15,0,-0.00993572,-0.131476,0,-0.00100413,-0.000259439,0.00214286,-0.00027036,0.00556867,0,-0.000173714,0.0004046
0.015,-0.0244783,0.00195827,0,0,-0.01,-0.15,0,-0.0100551,-0.132421,0,-0.00100413,-0.000259439,0.00198218,-0.000250085,0.00518013,0,-0.000160679,0.00038854
0.016,-0.0254575,0.000979134,0,0,-0.01,-0.15,0,-0.00971174,-0.133816,0,-2.50004E-05,0.000719695,0.00272444,0.000670724,0.00487968,0.000979133,0.000742264,0.00030045
0.015,-0.0254575,0.000979134,0,0,-0.01,-0.15,0,-0.00941562,-0.135018,0,-2.50004E-05,0.000719695,0.00252014,0.000620419,0.00458466,0,-0.000204299,0.00029502
0.015,-0.0254575,0.000979134,0,0,-0.01,-0.15,0,-0.00914172,-0.136131,0,-2.50004E-05,0.000719695,0.00233117,0.000573887,0.00429598,0,-0.000188971,0.00028868
0.016,-0.0254575,0.000979134,0,0,-0.01,-0.15,0,-0.00887184,-0.137228,0,-2.50004E-05,0.000719695,0.00214472,0.00052804,0.00401344,0,-0.000186453,0.00028254
0.015,-0.0244783,0.000979134,0,0,-0.01,-0.15,0,-0.00863908,-0.137743,0,-0.00100413,0.000719695,0.0010782,0.000488497,0.00366528,-0.000979133,-0.00106652,0.00034816
0.015,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.00885603,-0.138651,0,-2.50004E-05,-0.000259439,0.00190308,-0.000453781,0.0034095,0.000979133,0.000824872,0.00025578
0.016,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.00907,-0.139545,0,-2.75653E-05,-0.000259268,0.00174869,-0.000417276,0.00316031,-2.56486E-06,-0.000154385,0.00024919
0.016,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.00926685,-0.140368,0,-2.75653E-05,-0.000259268,0.00160883,-0.00038383,0.00291849,0,-0.000139857,0.00024182
0.015,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.00943664,-0.141078,0,-2.75653E-05,-0.000259268,0.00148821,-0.000354983,0.00268511,0,-0.000120625,0.00023338
0.016,-0.0254575,0.000979134,0,0,-0.01,-0.15,0,-0.00914314,-0.141779,0,-2.75653E-05,0.000719866,0.0013692,0.000574285,0.00245975,0,-0.00011901,0.00022536
0.015,-0.0254575,0.000979134,0,0,-0.01,-0.15,0,-0.00888999,-0.142383,0,-2.75653E-05,0.000719866,0.00126655,0.000531276,0.00224322,0,-0.00010265,0.00021653
0.016,-0.0254575,0.000979134,0,0,-0.01,-0.15,0,-0.00864023,-0.142979,0,-2.75653E-05,0.000719866,0.00116527,0.00048884,0.00203502,0,-0.000101283,0.0002082
0.015,-0.0254575,0.000979134,0,0,-0.01,-0.15,0,-0.00842443,-0.143493,0,-2.75653E-05,0.000719866,0.00107791,0.000452177,0.00183574,0,-8.73581E-05,0.00019928
0.016,-0.0254575,0.000979134,0,0,-0.01,-0.15,0,-0.00821151,-0.144001,0,-2.75653E-05,0.000719866,0.00099171,0.000416001,0.00164487,0,-8.61976E-05,0.00019087
0.015,-0.0254575,0.000979134,0,0,-0.01,-0.15,0,-0.00802787,-0.144438,0,-2.75653E-05,0.000719866,0.000917368,0.0003848,0.00146279,0,-7.43419E-05,0.00018208
0.015,-0.0254575,0.000979134,0,0,-0.01,-0.15,0,-0.007858,-0.144843,0,-2.75653E-05,0.000719866,0.000848595,0.000355939,0.00128937,0,-6.87726E-05,0.00017342
0.016,-0.0254575,0.000979134,0,0,-0.01,-0.15,0,-0.00769039,-0.145242,0,-2.75653E-05,0.000719866,0.000780746,0.000327463,0.00112406,0,-6.78487E-05,0.00016531
0.015,-0.0254575,0.000979134,0,0,-0.01,-0.15,0,-0.00754583,-0.145587,0,-2.75653E-05,0.000719866,0.000722222,0.000302902,0.000967081,0,-5.85243E-05,0.000156979
