dt,acc_x,acc_y,gyr_x,gyr_y,r_imu,p_imu,y_imu,r_cal,p_cal,y_cal,ax_n_imu,ay_n_imu,ax_n_cal,ay_n_cal,dax_n_imu,dax_n_cal
0.015,-0.0254575,-0.0029374,-0.01,-0,0.02,-0.14,0,0.016191,-0.136994,0,0.00167861,-0.000459572,0.00218925,0.000187388,0.000979131,0.000801653
0.016,-0.0244783,-0.0029374,-0.01,-0,0.02,-0.14,0,0.0161188,-0.137563,0,0.000699483,-0.000459572,0.00111334,0.000199642,-0.000979131,-0.00107592
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0162066,-0.138055,0,0.000699483,-0.000459572,0.00102987,0.000184734,0,-8.34726e-05
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0162932,-0.13854,0,0.000699483,-0.000459572,0.000947503,0.000170025,0,-8.23624e-05
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0163679,-0.138958,0,0.000699483,-0.000459572,0.000876468,0.000157339,0,-7.10357e-05
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0164416,-0.139371,0,0.000699483,-0.000459572,0.000806376,0.000144822,0,-7.00913e-05
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0165051,-0.139727,0,0.000699483,-0.000459572,0.00074592,0.000134026,0,-6.04559e-05
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0165639,-0.140056,0,0.000699483,-0.000459572,0.000690004,0.00012404,0,-5.59166e-05
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0166219,-0.140381,0,0.000699483,-0.000459572,0.000634829,0.000114188,0,-5.51753e-05
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.016672,-0.140661,0,0.000699483,-0.000459572,0.00058724,0.00010569,0,-4.75887e-05
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0167213,-0.140937,0,0.000699483,-0.000459572,0.00054029,9.73055e-05,0,-4.69498e-05
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0167639,-0.141176,0,0.000699483,-0.000459572,0.000499792,9.00743e-05,0,-4.04976e-05
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0168059,-0.141411,0,0.000699483,-0.000459572,0.000459837,8.29396e-05,0,-3.99556e-05
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0168421,-0.141614,0,0.000699483,-0.000459572,0.000425374,7.67864e-05,0,-3.44627e-05
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0168779,-0.141814,0,0.000699483,-0.000459572,0.000391372,7.07149e-05,0,-3.40026e-05
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0169087,-0.141987,0,0.000699483,-0.000459572,0.000362042,6.54778e-05,0,-2.93292e-05
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0169391,-0.142157,0,0.000699483,-0.000459572,0.000333108,6.03111e-05,0,-2.89343e-05
0.015,-0.0244783,-0.00391654,0,-0,0.02,-0.14,0,0.0173979,-0.142303,0,0.000697091,0.00051922,0.000305908,0.000961225,-2.39164e-06,-2.72002e-05
0.016,-0.0244783,-0.00391654,0,-0,0.02,-0.14,0,0.0178506,-0.142447,0,0.000697091,0.00051922,0.000281472,0.000884333,0,-2.4436e-05
0.015,-0.0244783,-0.00391654,0,-0,0.02,-0.14,0,0.018241,-0.142571,0,0.000697091,0.00051922,0.00026039,0.000818014,0,-2.10814e-05
0.016,-0.0244783,-0.00391654,0,-0,0.02,-0.14,0,0.0186262,-0.142693,0,0.000697091,0.00051922,0.000239596,0.000752579,0,-2.07946e-05
0.016,-0.0244783,-0.00391654,0,-0,0.02,-0.14,0,0.0189802,-0.142806,0,0.000697091,0.00051922,0.000220452,0.000692446,0,-1.91443e-05
0.016,-0.0244783,-0.00391654,0,-0,0.02,-0.14,0,0.0193059,-0.14291,0,0.000697091,0.00051922,0.000202842,0.000637124,0,-1.76094e-05
0.015,-0.0244783,-0.00391654,0,-0,0.02,-0.14,0,0.0195868,-0.142999,0,0.000697091,0.00051922,0.00018765,0.00058941,0,-1.51917e-05
0.016,-0.0244783,-0.00391654,0,-0,0.02,-0.14,0,0.019864,-0.143087,0,0.000697091,0.00051922,0.000172665,0.00054233,0,-1.4985e-05
0.015,-0.0244783,-0.00391654,0,-0,0.02,-0.14,0,0.020103,-0.143163,0,0.000697091,0.00051922,0.000159739,0.000501725,0,-1.29268e-05
0.016,-0.0244783,-0.00391654,0,-0,0.02,-0.14,0,0.0203389,-0.143238,0,0.000697091,0.00051922,0.000146983,0.000461661,0,-1.27554e-05
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.02011,-0.143303,0,0.000697093,-0.000459913,0.000135984,-0.000478595,1.86265e-09,-1.09989e-05
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0198842,-0.143367,0,0.000697093,-0.000459913,0.000125131,-0.000440236,0,-1.08536e-05
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0196894,-0.143422,0,0.000697093,-0.000459913,0.000115769,-0.000407151,0,-9.36165e-06
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0194972,-0.143477,0,0.000697093,-0.000459913,0.000106532,-0.000374508,0,-9.23686e-06
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0193315,-0.143524,0,0.000697093,-0.000459913,9.85656e-05,-0.000346353,0,-7.96653e-06
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0191679,-0.14357,0,0.000697093,-0.000459913,9.07015e-05,-0.000318572,0,-7.86409e-06
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0190175,-0.143612,0,0.000697093,-0.000459913,8.34726e-05,-0.000293015,0,-7.22893e-06
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.018879,-0.143652,0,0.000697093,-0.000459913,7.68173e-05,-0.000269501,0,-6.65523e-06
0.015,-0.0244783,-0.0029374,0.01,-0,0.02,-0.14,0,0.0189097,-0.143685,0,0.000697093,-0.000459913,7.10804e-05,-0.000274701,0,-5.73695e-06
0.015,-0.0244783,-0.0029374,0.01,-0,0.02,-0.14,0,0.018938,-0.143717,0,0.000697093,-0.000459913,6.57756e-05,-0.000279511,0,-5.30481e-06
0.015,-0.0244783,-0.0029374,0.01,-0,0.02,-0.14,0,0.0189642,-0.143745,0,0.000697093,-0.000459913,6.08657e-05,-0.00028396,0,-4.90993e-06
0.016,-0.0244783,-0.0029374,0.01,-0,0.02,-0.14,0,0.01899,-0.143774,0,0.000697093,-0.000459913,5.60209e-05,-0.000288349,0,-4.84474e-06
0.015,-0.0244783,-0.0029374,0.01,0.01,0.02,-0.14,0,0.0190123,-0.143649,0,0.000697093,-0.000459913,7.73203e-05,-0.000292135,0,2.12993e-05
0.015,-0.0244783,-0.0029374,0.01,0.01,0.02,-0.14,0,0.0190329,-0.143533,0,0.000697093,-0.000459913,9.70215e-05,-0.000295637,0,1.97012e-05
0.015,-0.0244783,-0.0029374,0.01,0.01,0.02,-0.14,0,0.019052,-0.143425,0,0.000697093,-0.000459913,0.000115249,-0.000298877,0,1.82278e-05
0.015,-0.0244783,-0.0029374,0,0.01,0.02,-0.14,0,0.0189196,-0.143326,0,0.000697093,-0.000459913,0.00013211,-0.000276393,0,1.68607e-05
0.016,-0.0244783,-0.0029374,0,0.01,0.02,-0.14,0,0.018789,-0.143228,0,0.000697093,-0.000459913,0.000148743,-0.00025421,0,1.66334e-05
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0186764,-0.143294,0,0.000697093,-0.000459913,0.000137614,-0.000235077,0,-1.11293e-05
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0185653,-0.143358,0,0.000697093,-0.000459913,0.000126626,-0.000216199,0,-1.09877e-05
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0184694,-0.143414,0,0.000697093,-0.000459913,0.000117153,-0.000199917,0,-9.47341e-06
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0183748,-0.143469,0,0.000697093,-0.000459913,0.000107806,-0.000183851,0,-9.34675e-06
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0182933,-0.143517,0,0.000697093,-0.000459913,9.97428e-05,-0.000169995,0,-8.06339e-06
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0182178,-0.14356,0,0.000697093,-0.000459913,9.22866e-05,-0.000157178,0,-7.45617e-06
0.016,-0.0244783,-0.0029374,0,0.01,0.02,-0.14,0,0.0181433,-0.143444,0,0.000697093,-0.000459913,0.000112107,-0.000144532,0,1.98204e-05
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0180749,-0.143496,0,0.000697093,-0.000459913,0.000103163,-0.000132897,0,-8.94442e-06
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0180118,-0.143545,0,0.000697093,-0.000459913,9.49372e-05,-0.000122194,0,-8.22544e-06
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0179579,-0.143587,0,0.000697093,-0.000459913,8.78461e-05,-0.000113026,0,-7.09109e-06
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0179079,-0.143625,0,0.000697093,-0.000459913,8.12914e-05,-0.000104545,0,-6.55465e-06
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0178587,-0.143663,0,0.000697093,-0.000459913,7.48225e-05,-9.61772e-05,0,-6.46897e-06
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0178162,-0.143696,0,0.000697093,-0.000459913,6.92401e-05,-8.89597e-05,0,-5.58235e-06
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0177744,-0.14373,0,0.000699483,-0.000459572,6.59917e-05,-8.15592e-05,2.38977e-06,-3.24845e-06
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0177384,-0.143759,0,0.000699483,-0.000459572,6.10743e-05,-7.54385e-05,0,-4.91738e-06
0.015,-0.0244783,-0.0029374,-0.01,-0,0.02,-0.14,0,0.0175547,-0.143786,0,0.000699483,-0.000459572,5.65164e-05,-4.42362e-05,0,-4.55789e-06
0.015,-0.0244783,-0.0029374,-0.01,-0,0.02,-0.14,0,0.0173847,-0.14381,0,0.000699483,-0.000459572,5.22994e-05,-1.53736e-05,0,-4.21703e-06
0.015,-0.0244783,-0.0029374,-0.01,-0,0.02,-0.14,0,0.0172274,-0.143832,0,0.000697093,-0.000459913,4.61321e-05,1.10525e-05,-2.38977e-06,-6.16722e-06
0.015,-0.0254575,-0.0029374,-0.01,-0,0.02,-0.14,0,0.0170819,-0.144285,0,0.00167622,-0.000459913,0.000948396,3.57714e-05,0.000979131,0.000902263
0.016,-0.0254575,-0.0029374,-0.01,-0,0.02,-0.14,0,0.0169383,-0.144731,0,0.00167622,-0.000459913,0.000872549,6.01602e-05,0,-7.58469e-05
0.015,-0.0254575,-0.0029374,0,-0,0.02,-0.14,0,0.0169645,-0.145116,0,0.00167622,-0.000459913,0.000807134,5.57164e-05,0,-6.54142e-05
0.016,-0.0254575,-0.0029374,0,-0,0.02,-0.14,0,0.0169903,-0.145496,0,0.00167622,-0.000459913,0.000742592,5.13319e-05,0,-6.45425e-05
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0170126,-0.145392,0,0.000697093,-0.000459913,-0.000218777,4.75508e-05,-0.000979131,-0.000961369
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0170349,-0.145288,0,0.000697093,-0.000459913,-0.00020124,4.3751e-05,0,1.75368e-05
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0170542,-0.145199,0,0.000697093,-0.000459913,-0.000186114,4.04732e-05,0,1.51265e-05
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0170733,-0.145112,0,0.000697093,-0.000459913,-0.000171192,3.72396e-05,0,1.49217e-05
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0170897,-0.145036,0,0.000697093,-0.000459913,-0.000158321,3.44508e-05,0,1.28709e-05
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0171059,-0.144961,0,0.000697093,-0.000459913,-0.000145623,3.16987e-05,0,1.26977e-05
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0171195,-0.144897,0,0.000697093,-0.000459913,-0.000134677,2.93895e-05,0,1.09468e-05
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0171329,-0.144833,0,0.000697093,-0.000459913,-0.000123877,2.71113e-05,0,1.07996e-05
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0171445,-0.144778,0,0.000697093,-0.000459913,-0.000114566,2.51464e-05,0,9.31136e-06
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0171552,-0.144727,0,0.000697093,-0.000459913,-0.000105947,2.33285e-05,0,8.61846e-06
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0171651,-0.144681,0,0.000697093,-0.000459913,-9.79789e-05,2.16474e-05,0,7.9684e-06
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0171748,-0.144634,0,0.000697093,-0.000459913,-9.01148e-05,1.99883e-05,0,7.86409e-06
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0171832,-0.144594,0,0.000697093,-0.000459913,-8.3331e-05,1.85571e-05,0,6.78375e-06
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0171916,-0.144555,0,0.000697093,-0.000459913,-7.66367e-05,1.7145e-05,0,6.69435e-06
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0171992,-0.144519,0,0.000697093,-0.000459913,-7.04788e-05,1.5846e-05,0,6.1579e-06
0.016,-0.0244783,-0.00391654,0,-0,0.02,-0.14,0,0.0176674,-0.144485,0,0.000697091,0.00051922,-6.48182e-05,0.000915456,-1.86265e-09,5.66058e-06
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0176388,-0.144457,0,0.000697093,-0.000459913,-5.99306e-05,-5.88342e-05,1.86265e-09,4.88758e-06
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0176107,-0.144428,0,0.000697093,-0.000459913,-5.51138e-05,-5.40544e-05,0,4.8168e-06
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0175864,-0.144404,0,0.000697093,-0.000459913,-5.09545e-05,-4.99326e-05,0,4.15929e-06
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0175626,-0.144381,0,0.000699483,-0.000459572,-4.4588e-05,-4.55892e-05,2.38977e-06,6.36652e-06
0.016,-0.0244783,-0.0029374,0,0.01,0.02,-0.14,0,0.0175407,-0.1442,0,0.000699483,-0.000459572,-1.38152e-05,-4.18697e-05,0,3.07728e-05
