行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移,编码器位移,x_slam,y_slam,组合导航位移
0,4.18782e-05,0,0,2.1242e-07,6.70051e-07,0,0,6.63417e-09
0,3.632e-05,0,0,4.19077e-07,1.25117e-06,0,0,3.09184e-08
0,0,0,0,6.00709e-07,1.25117e-06,0,0,6.58989e-08
0,0.000117091,0,0,7.8234e-07,3.00754e-06,0,0,1.75408e-07
0,0.000336211,0,0,9.6723e-07,8.0507e-06,0,0,5.30563e-07
0,0.000729668,0,0,1.17759e-06,1.97254e-05,0,0,1.53292e-06
0,0.00105331,0,0,1.36248e-06,3.5525e-05,0,0,3.52402e-06
1,0.00170613,0.000137528,0,4.45687e-06,0.000298117,0,0,2.436e-05
1,0.00204363,0.000299416,0,1.05426e-05,0.000583615,0,0,6.7438e-05
1,0.00311997,0.000476958,0,1.95943e-05,0.000886335,0,0,0.000134504
1,0.00381874,0.000672697,0,3.11528e-05,0.00118062,0,0,0.000224224
1,0.00577167,0.000913598,0,4.76976e-05,0.00152576,0,0,0.000341692
1,0.00653233,0.00115856,0,6.81942e-05,0.00188308,0,0,0.000485866
1,0.00852601,0.00138903,0,9.07581e-05,0.00224797,0,0,0.000654134
1,0.00825802,0.00163486,0,0.000118882,0.0026329,0,0,0.000849157
1,0.0101805,0.00182098,0,0.000147593,0.00302261,0,0,0.00106531
1,0.0118111,0.00197181,0,0.000180349,0.00346438,0,0,0.00130816
1,0.0135905,0.00204394,0,0.000213629,0.00393463,0,0,0.00157504
1,0.0152167,0.00206791,0,0.000246907,0.0044309,0,0,0.00186541
1,0.0177615,0.00204561,0,0.000277424,0.00493432,-0.00590532,-0.000226536,0.00217517
1,0.019616,0.00200616,0,0.000309207,0.00550098,-0.00590532,-0.000226536,0.00251174
1,0.0220672,0.00196949,0,0.000338474,0.00606898,-0.00590532,-0.000226536,0.00286908
1,0.0240214,0.0019633,0,0.000367877,0.00666631,-0.00590532,-0.000226536,0.00325012
1,0.026361,0.00202099,0.000372373,0.000400675,0.00734088,-0.00621891,-2.57384e-05,0.0036625
1,0.02867,0.00211942,0.000372373,0.000433204,0.00800793,-0.00621891,-2.57384e-05,0.00409938
1,0.0309642,0.0022472,0.000372373,0.000467871,0.0087094,-0.00621891,-2.57384e-05,0.00456384
1,0.03342,0.00240351,0.00025169,0.000505096,0.0094477,-0.00608928,-0.000398303,0.00505708
1,0.0350778,0.00256885,0.00025169,0.00054752,0.0102617,-0.00608928,-0.000398303,0.00558591
1,0.0386496,0.0027072,0.00025169,0.000589165,0.0110785,-0.00608928,-0.000398303,0.00614215
1,0.0445402,0.00278998,0.00025169,0.000634468,0.0120439,-0.00608928,-0.000398303,0.00674132
1,0.0499664,0.00288401,0.00150364,0.000678433,0.0130304,-0.00442005,-0.000460909,0.00737641
1,0.0481998,0.00313489,0.00150364,0.000730598,0.0140544,-0.00442005,-0.000460909,0.00805505
1,0.0502226,0.00379864,0.00150364,0.000792556,0.0150448,-0.00442005,-0.000460909,0.00876979
1,0.0561312,0.00517426,0.00150364,0.000880487,0.0161237,-0.00442005,-0.000460909,0.00953809
1,0.0620058,0.00776588,0.00111322,0.00102547,0.0173686,-0.00485391,-0.00059233,0.0103941
1,0.0681029,0.0114416,0.00111322,0.00122466,0.0186272,-0.00485391,-0.00059233,0.0113315
1,0.0676133,0.0164578,0.00111322,0.00150915,0.0198784,-0.00485391,-0.00059233,0.012367
1,0.0686219,0.0233159,0.00022588,0.00193707,0.0212291,-0.00594329,-3.86936e-06,0.0135468
1,0.0777946,0.0306888,0.00022588,0.0024527,0.022633,-0.00594329,-3.86936e-06,0.014827
1,0.0806846,0.0394338,0.00022588,0.00315361,0.0241768,-0.00594329,-3.86936e-06,0.0162868
1,0.0858572,0.0482008,0.00022588,0.00394237,0.0257016,-0.00594329,-3.86936e-06,0.0178362
1,0.0899898,0.0572741,0.00285276,0.00486953,0.0272885,-0.00346682,0.00125399,0.0195124
1,0.0919792,0.066971,0.00285276,0.00601864,0.029013,-0.00346682,0.00125399,0.0213854
1,0.0966561,0.0764325,0.00285276,0.00731725,0.0308123,-0.00346682,0.00125399,0.0233885
1,0.104092,0.0849193,0.00285276,0.00865469,0.0326106,-0.00346682,0.00125399,0.0254182
1,0.109092,0.0931932,0.00738583,0.010212,0.0346089,0.00126901,0.0015283,0.0276416
1,0.113047,0.0999965,0.00738583,0.0117629,0.0365416,0.00126901,0.0015283,0.0298454
1,0.11848,0.106004,0.00738583,0.0135071,0.0386901,0.00126901,0.0015283,0.0322214
1,0.124441,0.111028,0.0126014,0.0153237,0.0409339,0.00658325,0.00145565,0.0346575
1,0.129152,0.114842,0.0126014,0.017075,0.0431082,0.00658325,0.00145565,0.0370201
1,0.13505,0.117952,0.0126014,0.0188676,0.045371,0.00658325,0.00145565,0.0394154
1,0.139249,0.120792,0.0126014,0.020823,0.0478518,0.00658325,0.00145565,0.0419667
1,0.144495,0.123384,0.0126014,0.0226932,0.0502562,0.00658325,0.00145565,0.04443
1,0.150786,0.1264,0.0198653,0.0246118,0.052755,0.0139197,0.00103785,0.0469375
1,0.156641,0.130101,0.0198653,0.026591,0.0553416,0.0139197,0.00103785,0.0495028
1,0.161404,0.134981,0.0198653,0.0287898,0.0581769,0.0139197,0.00103785,0.0522821
1,0.164857,0.140458,0.0198653,0.0309377,0.0608867,0.0139197,0.00103785,0.0550071
1,0.173066,0.146655,0.0283796,0.033184,0.0637197,0.0223934,0.00191493,0.0578264
1,0.176172,0.153699,0.0283796,0.0356996,0.0667913,0.0223934,0.00191493,0.0609045
1,0.18281,0.160344,0.0283796,0.0381546,0.0697704,0.0223934,0.00191493,0.0639242
1,0.187332,0.166751,0.0361899,0.0407039,0.0728174,0.0301169,0.00325263,0.0670335
1,0.194441,0.173101,0.0361899,0.0435243,0.0761812,0.0301169,0.00325263,0.0704098
1,0.196857,0.178587,0.0361899,0.0462443,0.0793711,0.0301169,0.00325263,0.0736862
1,0.20233,0.184031,0.0361899,0.0492323,0.0828612,0.0301169,0.00325263,0.0772234
1,0.209195,0.188905,0.0453587,0.0521024,0.0862361,0.0392947,0.00356362,0.0806447
1,0.212418,0.193734,0.0453587,0.0550446,0.0896594,0.0392947,0.00356362,0.0841318
1,0.218593,0.198611,0.0453587,0.0580604,0.0931753,0.0392947,0.00356362,0.0876879
1,0.225434,0.203933,0.0565352,0.0613659,0.097035,0.0505646,0.00249008,0.0915295
1,0.229695,0.208995,0.0565352,0.0645388,0.100717,0.0505646,0.00249008,0.0952403
1,0.233309,0.214443,0.0565352,0.0680135,0.104703,0.0505646,0.00249008,0.0992451
1,0.237092,0.219528,0.0565352,0.0713445,0.108497,0.0505646,0.00249008,0.103105
1,0.242051,0.224523,0.0696643,0.0747498,0.112364,0.0637267,0.00189484,0.107033
1,0.246886,0.229639,0.0696643,0.0784649,0.116567,0.0637267,0.00189484,0.111265
1,0.250626,0.234219,0.0696643,0.0820126,0.120564,0.0637267,0.00189484,0.115328
1,0.255493,0.238596,0.0696643,0.0856244,0.124633,0.0637267,0.00189484,0.119452
1,0.259236,0.242816,0.0825708,0.0892982,0.128759,0.0765981,0.00310836,0.123633
1,0.262625,0.247225,0.0825708,0.0932891,0.133213,0.0765981,0.00310836,0.128124
1,0.267485,0.251423,0.0825708,0.0970919,0.137463,0.0765981,0.00310836,0.132425
1,0.269603,0.255765,0.0973479,0.100961,0.141744,0.0913449,0.00413315,0.136783
1,0.272271,0.260283,0.0973479,0.104899,0.146065,0.0913449,0.00413315,0.141199
1,0.276565,0.265259,0.0973479,0.109183,0.150743,0.0913449,0.00413315,0.145947
1,0.281375,0.270229,0.0973479,0.113546,0.155497,0.0913449,0.00413315,0.150768
1,0.282629,0.274725,0.11374,0.117701,0.159974,0.107776,0.0034294,0.155372
1,0.28504,0.278908,0.11374,0.121916,0.164486,0.107776,0.0034294,0.160025
1,0.287681,0.282714,0.11374,0.126185,0.169039,0.107776,0.0034294,0.16472
1,0.291038,0.286314,0.11374,0.130795,0.173948,0.107776,0.0034294,0.169743
1,0.294111,0.289434,0.130101,0.135451,0.178907,0.124127,0.00400056,0.174805
1,0.293408,0.29203,0.130101,0.139851,0.183545,0.124127,0.00400056,0.1796
1,0.294239,0.294524,0.130101,0.144583,0.188505,0.124127,0.00400056,0.184711
1,0.29778,0.296768,0.147861,0.149052,0.193209,0.141855,0.00521862,0.189548
1,0.299376,0.298997,0.147861,0.153553,0.197937,0.141855,0.00521862,0.194404
1,0.299555,0.301391,0.147861,0.158395,0.202982,0.141855,0.00521862,0.199584
1,0.29939,0.30369,0.147861,0.162967,0.20771,0.141855,0.00521862,0.204479
1,0.299049,0.306007,0.165129,0.167575,0.212433,0.159112,0.00583314,0.209389
1,0.301632,0.308205,0.165129,0.172214,0.217195,0.159112,0.00583314,0.214315
1,0.299476,0.310268,0.165129,0.177195,0.222239,0.159112,0.00583314,0.21956
1,0.299593,0.311754,0.182929,0.181883,0.22697,0.176941,0.00528905,0.224497
1,0.298967,0.312743,0.182929,0.186894,0.232006,0.176941,0.00528905,0.229739
1,0.300469,0.313071,0.182929,0.191906,0.237066,0.176941,0.00528905,0.234969
1,0.299605,0.312811,0.182929,0.196596,0.241797,0.176941,0.00528905,0.239864
1,0.298691,0.312164,0.202386,0.201274,0.246515,0.196388,0.005881,0.244734
1,0.301074,0.311296,0.202386,0.206248,0.251585,0.196388,0.005881,0.249892
1,0.301448,0.310565,0.202386,0.210901,0.256344,0.196388,0.005881,0.254721
1,0.300764,0.310043,0.202386,0.215857,0.261409,0.196388,0.005881,0.259846
1,0.298692,0.309909,0.220885,0.220505,0.266126,0.214879,0.00643367,0.26465
1,0.299271,0.310161,0.220885,0.22547,0.271167,0.214879,0.00643367,0.269761
1,0.300999,0.310632,0.220885,0.230133,0.275919,0.214879,0.00643367,0.274563
1,0.300662,0.311278,0.220885,0.235118,0.280982,0.214879,0.00643367,0.27968
1,0.300222,0.311842,0.237912,0.2398,0.285723,0.231906,0.00670967,0.284487
1,0.299486,0.312201,0.237912,0.244798,0.290767,0.231906,0.00670967,0.289605
1,0.300262,0.312281,0.237912,0.249483,0.295508,0.231906,0.00670967,0.294405
1,0.300332,0.312033,0.255696,0.254473,0.300566,0.249675,0.00745823,0.299509
1,0.299029,0.311465,0.255696,0.259452,0.305604,0.249675,0.00745823,0.304598
1,0.299255,0.310824,0.255696,0.26411,0.310329,0.249675,0.00745823,0.309362
1,0.299499,0.310131,0.255696,0.269066,0.315374,0.249675,0.00745823,0.314424
1,0.301121,0.309582,0.274252,0.274015,0.320445,0.26824,0.00742059,0.319479
1,0.29943,0.309279,0.274252,0.278652,0.325173,0.26824,0.00742059,0.324219
1,0.299179,0.309167,0.274252,0.283289,0.329898,0.26824,0.00742059,0.328955
1,0.300201,0.309061,0.29302,0.288233,0.334954,0.287037,0.00653077,0.334
1,0.300187,0.308868,0.29302,0.293173,0.34001,0.287037,0.00653077,0.339044
1,0.300074,0.308489,0.29302,0.298106,0.345064,0.287037,0.00653077,0.344083
