行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移,编码器位移,x_slam,y_slam,组合导航位移
0,0,0,0,4.83576e-07,0,0,0,0
0,0.000318409,0,0,6.10343e-07,5.09454e-06,0,0,9.94081e-08
0,0.000229303,0,0,7.25195e-07,8.53409e-06,0,0,3.41202e-07
0,0.000459463,0,0,8.51962e-07,1.58855e-05,0,0,9.19872e-07
0,0.000337935,0,0,9.78729e-07,2.12925e-05,0,0,1.83862e-06
0,0.000619844,0,0,1.0844e-06,3.05901e-05,0,0,3.34003e-06
0,0.00131325,0,0,1.20463e-06,5.16021e-05,0,0,6.16701e-06
1,0.00235447,0.000150666,0,4.82063e-06,0.000342074,0,0,2.99797e-05
1,0.00360758,0.000291916,0,1.02587e-05,0.000633187,0,0,7.57092e-05
1,0.00362712,0.000433166,0,1.78156e-05,0.000924594,0,0,0.000143921
1,0.00367851,0.000575182,0,2.75084e-05,0.00121677,0,0,0.000234347
1,0.00633328,0.000726665,0,4.03469e-05,0.0015709,0,0,0.000351862
1,0.0061359,0.000862511,0,5.52339e-05,0.00192188,0,0,0.000494051
1,0.00757361,0.000989866,0,7.1037e-05,0.00227248,0,0,0.000658221
1,0.00996749,0.00111722,0,8.87505e-05,0.002659,0,0,0.000846561
1,0.0106864,0.00124381,0,0.000108357,0.00305629,0,0,0.00105802
1,0.0122936,0.0013704,0,0.000129863,0.0034777,0,0,0.00129269
1,0.0145947,0.00150543,0,0.00015503,0.00396401,0,0,0.00155578
1,0.0161537,0.00163279,0,0.000180477,0.00444332,0,0,0.00184123
1,0.0177746,0.00177465,0,0.00020816,0.00494694,-0.010341,-0.00316051,0.00215068
1,0.0201932,0.00194162,0,0.000240562,0.00552283,-0.010341,-0.00316051,0.00249059
1,0.0238228,0.00214306,0,0.000274219,0.00611717,-0.010341,-0.00316051,0.00285673
1,0.026219,0.002485,0,0.000316714,0.00678947,-0.010341,-0.00316051,0.00325977
1,0.0267118,0.00292894,0.000504064,0.000363978,0.00742715,-0.0106346,-0.00275078,0.00368983
1,0.0294991,0.00370446,0.000504064,0.000429454,0.00815193,-0.0106346,-0.00275078,0.00416257
1,0.0318991,0.0047736,0.000504064,0.000509076,0.00886742,-0.0106346,-0.00275078,0.00467029
1,0.0386234,0.00620696,0.000504064,0.00061293,0.00968377,-0.0106346,-0.00275078,0.00522743
1,0.0404802,0.00802104,0.000596087,0.000746852,0.010528,-0.0109081,-0.00334396,0.00583704
1,0.041182,0.0102277,0.000596087,0.000916817,0.0113827,-0.0109081,-0.00334396,0.00650044
1,0.0432908,0.0129729,0.000596087,0.00114635,0.0123282,-0.0109081,-0.00334396,0.0072401
1,0.0474383,0.0160913,0.000428369,0.00142875,0.01334,-0.0106943,-0.00340273,0.00805117
