行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移,编码器位移,x_slam,y_slam,组合导航位移
1,0.188473,0.166801,0.0323705,0.041947,0.0727472,0.0290927,0.00374007,0.0672227
1,0.193001,0.171705,0.0421528,0.0447335,0.076088,0.0388923,0.00363024,0.0705519
1,0.198247,0.176257,0.0421528,0.0474115,0.0792987,0.0388923,0.00363024,0.0737763
1,0.20312,0.180928,0.0421528,0.0501605,0.0825825,0.0388923,0.00363024,0.0770698
1,0.209751,0.186144,0.0531686,0.0531805,0.0861913,0.0498933,0.00421398,0.0806324
1,0.213975,0.191736,0.0531686,0.056293,0.0898677,0.0498933,0.00421398,0.0842869
1,0.218732,0.19732,0.0531686,0.0592947,0.0933857,0.0498933,0.00421398,0.0878307
1,0.223754,0.203194,0.0531686,0.0623867,0.096979,0.0498933,0.00421398,0.0914589
1,0.227575,0.209262,0.0646228,0.0655711,0.10063,0.0613438,0.00454545,0.0951716
1,0.232793,0.21564,0.0646228,0.0690724,0.104607,0.0613438,0.00454545,0.0991912
1,0.237054,0.22167,0.0646228,0.0726673,0.108653,0.0613438,0.00454545,0.103301
1,0.241672,0.226816,0.0646228,0.0761082,0.112515,0.0613438,0.00454545,0.107256
1,0.24492,0.231741,0.0777099,0.0798554,0.116686,0.0744292,0.00484832,0.111508
1,0.250196,0.235689,0.0777099,0.0834204,0.120676,0.0744292,0.00484832,0.115579
1,0.255581,0.239554,0.0777099,0.0872842,0.125018,0.0744292,0.00484832,0.119945
1,0.259783,0.243,0.0916109,0.090955,0.129152,0.0883424,0.00473922,0.124119
1,0.262236,0.246799,0.0916109,0.0949342,0.133601,0.0883424,0.00473922,0.128594
1,0.266732,0.250897,0.0916109,0.0989813,0.138121,0.0883424,0.00473922,0.133133
1,0.271195,0.255126,0.0916109,0.10284,0.142426,0.0883424,0.00473922,0.13748
1,0.274762,0.260016,0.105969,0.107039,0.147075,0.102704,0.00482377,0.142157
1,0.277189,0.264819,0.105969,0.111048,0.15147,0.102704,0.00482377,0.146638
