roll,pitch,yaw,axb,ayb,axn,ayn
0.015,-0.176252,-0.240853,0.000776778,-0.0430819,0.0479776,0.00161313,-0.0176315
0.016,-0.177198,-0.241902,0.000654576,-0.044061,0.0499358,0.00241993,-0.019433
0.015,-0.177917,-0.243665,0.000686292,-0.0460193,0.0479776,0.0040872,-0.01736
0.016,-0.179433,-0.247257,0.000561681,-0.0489567,0.0479776,0.00641901,-0.0171083
0.015,-0.181471,-0.25051,0.000297194,-0.0489567,0.0489567,0.00586784,-0.0177431
0.015,-0.182201,-0.252965,-0.000120322,-0.0469984,0.0469984,0.0034871,-0.0156593
0.016,-0.182447,-0.254346,-0.000404582,-0.044061,0.0469984,0.000320908,-0.0156232
0.016,-0.180634,-0.254562,-0.000691818,-0.0411236,0.0450402,-0.00267105,-0.0139644
0.015,-0.176757,-0.253186,-0.000967604,-0.0372071,0.0411236,-0.00636377,-0.0107057
0.016,-0.172449,-0.250915,-0.00126061,-0.0352488,0.0411236,-0.00793982,-0.0114412
0.016,-0.168451,-0.248042,-0.00139142,-0.0342697,0.0421028,-0.00844572,-0.013094
0.016,-0.164479,-0.245238,-0.00136366,-0.0342697,0.0411236,-0.00796288,-0.0127989
0.016,-0.162804,-0.242499,-0.00132763,-0.0342697,0.0450402,-0.0074913,-0.0170039
0.015,-0.161382,-0.240263,-0.00144636,-0.0352488,0.044061,-0.00612715,-0.0162696
0.015,-0.160091,-0.238621,-0.00141673,-0.036228,0.0430819,-0.0048652,-0.0155129
0.016,-0.160371,-0.238049,-0.00138202,-0.0391654,0.0450402,-0.00182123,-0.0174284
0.016,-0.162319,-0.239346,-0.00102177,-0.0430819,0.0479776,0.00188027,-0.020036
0.016,-0.164112,-0.240538,-0.000661948,-0.0430819,0.0479776,0.00167508,-0.0197275
0.015,-0.165356,-0.242118,-0.000175859,-0.0450402,0.0479776,0.00335746,-0.0195104
0.016,-0.166722,-0.243358,0.000503472,-0.0450402,0.0489567,0.00314837,-0.0202572
0.015,-0.167733,-0.24343,0.00114149,-0.0430819,0.0499358,0.00119044,-0.0210709
0.016,-0.166274,-0.243505,0.00165398,-0.0430819,0.0460193,0.0011859,-0.0174112
0.015,-0.165291,-0.24259,0.00198762,-0.0401445,0.0469984,-0.00159392,-0.0185595
0.015,-0.164954,-0.242618,0.00217452,-0.0411236,0.0479776,-0.00062773,-0.0195909
0.015,-0.165392,-0.242816,0.00236327,-0.0401445,0.0479776,-0.00164098,-0.0195155
0.015,-0.167529,-0.2436,0.00270908,-0.0401445,0.050915,-0.00177557,-0.0220853
0.015,-0.170681,-0.244774,0.00305755,-0.0401445,0.0518941,-0.00197755,-0.0225219
0.016,-0.174721,-0.24657,0.00311236,-0.0401445,0.0528732,-0.00229505,-0.0227999
0.015,-0.178077,-0.248117,0.00331109,-0.0401445,0.0518941,-0.00256555,-0.0212401
0.015,-0.181329,-0.249696,0.00350959,-0.0401445,0.0518941,-0.00284163,-0.0206773
0.015,-0.183036,-0.250582,0.00370322,-0.0391654,0.0499358,-0.00396904,-0.0184283
0.016,-0.184234,-0.250675,0.00406831,-0.0381862,0.0499358,-0.00497697,-0.0182127
0.016,-0.185471,-0.250282,0.00427349,-0.0381862,0.050915,-0.00490906,-0.0189789
0.015,-0.186087,-0.24879,0.00431444,-0.036228,0.050915,-0.00661041,-0.018873
0.016,-0.185919,-0.246088,0.0041947,-0.0342697,0.0499358,-0.00810359,-0.0179228
0.015,-0.185077,-0.24434,0.00392898,-0.0352488,0.0479776,-0.00681105,-0.0161189
0.016,-0.183978,-0.242162,0.00364173,-0.0342697,0.0460193,-0.0074112,-0.014353
0.015,-0.183634,-0.241716,0.003223,-0.0372071,0.0460193,-0.004389,-0.0144183
0.015,-0.184044,-0.241732,0.00280612,-0.0381862,0.0469984,-0.00340863,-0.0153299
0.016,-0.184133,-0.242072,0.00236238,-0.0381862,0.0469984,-0.00345893,-0.0153209
0.015,-0.184614,-0.242491,0.00209903,-0.0391654,0.0489567,-0.00255197,-0.0171963
0.015,-0.184325,-0.242999,0.00198278,-0.0401445,0.0479776,-0.00167678,-0.0162543
0.016,-0.183102,-0.242402,0.00201495,-0.0391654,0.0469984,-0.00255732,-0.0154825
0.015,-0.181043,-0.243292,0.00204081,-0.0430819,0.0450402,0.00120185,-0.0138754
0.016,-0.177509,-0.242643,0.00206098,-0.0401445,0.0411236,-0.00162803,-0.0105643
0.015,-0.173908,-0.242233,0.0020778,-0.0401445,0.0391654,-0.00155751,-0.00922601
0.015,-0.170882,-0.241283,0.00209529,-0.0391654,0.0391654,-0.00236064,-0.00975573
0.016,-0.168669,-0.240663,0.00195774,-0.0391654,0.0401445,-0.00225817,-0.0111128
0.015,-0.168475,-0.239029,0.00183837,-0.0352488,0.044061,-0.00587696,-0.0150745
0.016,-0.16874,-0.237898,0.00171422,-0.0352488,0.0450402,-0.00567832,-0.0160108
0.016,-0.170352,-0.236859,0.00159551,-0.0352488,0.0479776,-0.00549554,-0.0186737
0.015,-0.171862,-0.23553,0.00163534,-0.0342697,0.0489567,-0.00626208,-0.0193815
0.016,-0.173172,-0.234492,0.00183713,-0.036228,0.0499358,-0.00411704,-0.020141
0.016,-0.173892,-0.233988,0.00203834,-0.0372071,0.0499358,-0.0030592,-0.0200111
0.015,-0.17394,-0.233982,0.00237495,-0.0381862,0.0489567,-0.00207489,-0.0190268
0.015,-0.173979,-0.234399,0.00271153,-0.0391654,0.0489567,-0.0011755,-0.019014
0.016,-0.174794,-0.23497,0.00323295,-0.0391654,0.0499358,-0.00127363,-0.0198529
0.015,-0.17522,-0.234887,0.00371942,-0.0381862,0.0489567,-0.00223823,-0.0188005
0.015,-0.175343,-0.234941,0.00405312,-0.0391654,0.0479776,-0.0012564,-0.0178091
0.016,-0.174552,-0.234218,0.00440431,-0.0381862,0.0460193,-0.00211513,-0.015984
0.016,-0.173534,-0.232784,0.00443286,-0.0372071,0.0450402,-0.00283556,-0.015189
0.015,-0.172227,-0.231822,0.00445758,-0.0381862,0.044061,-0.00169498,-0.0144317
0.015,-0.171018,-0.231082,0.00448304,-0.0381862,0.044061,-0.00156771,-0.0146397
0.015,-0.171171,-0.231393,0.00466435,-0.0401445,0.0469984,0.000317644,-0.017536
0.016,-0.17193,-0.232013,0.00486052,-0.0401445,0.0479776,0.000199046,-0.0183757
0.016,-0.173403,-0.232287,0.00537884,-0.0391654,0.0489567,-0.000830878,-0.0190984
0.016,-0.174458,-0.23208,0.00589488,-0.0381862,0.0479776,-0.00178222,-0.0179317
0.016,-0.176363,-0.231434,0.0064124,-0.0372071,0.0489567,-0.00264999,-0.0185828
0.015,-0.178009,-0.230903,0.00689832,-0.036228,0.0489567,-0.00353352,-0.0183025
0.015,-0.179107,-0.230136,0.00738245,-0.0352488,0.0479776,-0.00437672,-0.0171375
0.015,-0.180001,-0.22943,0.00801447,-0.0352488,0.0469984,-0.00424721,-0.0160106
0.015,-0.181827,-0.228624,0.00864908,-0.0352488,0.0489567,-0.00411579,-0.0176484
0.016,-0.183175,-0.22767,0.00916302,-0.0352488,0.0479776,-0.00394772,-0.0164403
0.016,-0.184997,-0.227403,0.00952054,-0.036228,0.0499358,-0.00293395,-0.0180752
0.015,-0.18555,-0.226754,0.0095535,-0.0352488,0.0489567,-0.00378587,-0.0170137
0.016,-0.183902,-0.225817,0.00942534,-0.0342697,0.0469984,-0.00460786,-0.015336
0.015,-0.180455,-0.225312,0.00915147,-0.0342697,0.044061,-0.00451368,-0.0129983
0.015,-0.176088,-0.225144,0.00887773,-0.0342697,0.0430819,-0.00448864,-0.0127678
0.015,-0.169468,-0.225116,0.00874582,-0.0352488,0.0381862,-0.00350139,-0.0090146
0.015,-0.162644,-0.225794,0.00891186,-0.0372071,0.036228,-0.00165605,-0.0082335
0.016,-0.157301,-0.22721,0.00941408,-0.0391654,0.0381862,5.50561e-05,-0.0111085
0.016,-0.15303,-0.228972,0.010078,-0.0401445,0.0381862,0.000739053,-0.0118489
0.015,-0.150226,-0.230923,0.0105535,-0.0411236,0.0391654,0.0013945,-0.0133181
0.016,-0.149011,-0.233599,0.0110651,-0.0430819,0.0411236,0.00289282,-0.0154851
0.015,-0.148543,-0.235762,0.0113967,-0.0430819,0.0421028,0.00252913,-0.01655
0.015,-0.14924,-0.238039,0.0115836,-0.044061,0.0450402,0.00311709,-0.0193674
0.015,-0.149752,-0.23984,0.0117681,-0.044061,0.044061,0.00279487,-0.0182925
0.016,-0.149659,-0.240994,0.0119606,-0.0430819,0.0421028,0.00160042,-0.0163403
0.015,-0.149456,-0.241718,0.01199,-0.0421028,0.0411236,0.000508834,-0.0154039
0.016,-0.148964,-0.242915,0.0120208,-0.0421028,0.0401445,0.000306875,-0.0145121
0.015,-0.149244,-0.242391,0.012054,-0.0381862,0.0421028,-0.00351505,-0.0164255
0.016,-0.148901,-0.242192,0.0119281,-0.0381862,0.0411236,-0.00348924,-0.0155003
0.015,-0.148011,-0.242601,0.0119605,-0.0391654,0.0411236,-0.0025681,-0.0156608
0.015,-0.146765,-0.242983,0.0119915,-0.0391654,0.0401445,-0.00262567,-0.0149012
0.016,-0.144756,-0.243652,0.0120226,-0.0401445,0.0391654,-0.00177,-0.0142624
0.015,-0.143298,-0.244077,0.0120539,-0.0401445,0.0401445,-0.00184703,-0.0154899
0.015,-0.142548,-0.243742,0.0120849,-0.0391654,0.0401445,-0.00277259,-0.0156167
0.016,-0.142582,-0.243411,0.0119601,-0.0391654,0.0411236,-0.00271557,-0.0165899
0.015,-0.143919,-0.243707,0.0116971,-0.0401445,0.0430819,-0.00177872,-0.0183229
0.016,-0.145377,-0.243227,0.0114173,-0.0391654,0.044061,-0.0026669,-0.0190564
0.016,-0.147305,-0.243532,0.0113004,-0.0411236,0.0460193,-0.000769153,-0.0206775
0.015,-0.147942,-0.243495,0.0111877,-0.0411236,0.0450402,-0.000763029,-0.0195889
0.015,-0.148802,-0.243455,0.0112265,-0.0411236,0.0460193,-0.000768468,-0.0204124
0.016,-0.148712,-0.243411,0.0114257,-0.0411236,0.0450402,-0.000769392,-0.0194437
0.015,-0.148636,-0.242119,0.0116137,-0.0372071,0.0450402,-0.00445922,-0.01946
0.015,-0.148863,-0.240793,0.0118022,-0.036228,0.0450402,-0.00521841,-0.0194161
0.016,-0.149269,-0.239804,0.012002,-0.036228,0.044061,-0.00505234,-0.0183645
