行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移,编码器位移,qr_code_num,qr_code_x,qr_code_y,qr_code_r,x_slam,y_slam,组合导航位移
0,0.000227911,-2.24377e-05,0,-6.05817e-07,4.1024e-06,472,0.0004,0.0008,359.9,0,0,-3.59262e-07
0,5.8557e-05,0,0,-6.51475e-07,4.98075e-06,472,0.0004,0.0008,359.9,0,0,-2.55064e-07
0,3.09603e-05,0,0,-5.83914e-07,5.44516e-06,472,0.0004,0.0008,359.9,0,0,-9.16575e-08
0,0.000349098,0,0,-5.0221e-07,1.10307e-05,472,0.0004,0.0008,359.9,0,0,3.22397e-07
0,0.000212508,0,0,-4.19391e-07,1.42183e-05,472,0.0004,0.0008,359.9,0,0,9.49068e-07
0,0.000575293,0,0,-3.16478e-07,2.3423e-05,472,0.0004,0.0008,359.9,0,0,2.12266e-06
0,0.000825422,0,0,-3.29853e-07,3.66298e-05,472,0.0004,0.0008,359.9,0,0,4.14394e-06
1,0.00191116,0.000125577,0,2.49563e-06,0.000302297,472,0.0004,0.0008,359.9,0,0,2.50406e-05
1,0.00245196,0.000279426,0,7.84089e-06,0.000576077,472,0.0004,0.0008,359.9,0,0,6.69932e-05
1,0.00319852,0.00047721,0,1.64824e-05,0.000861055,472,0.0004,0.0008,359.9,0,0,0.000131801
1,0.00406879,0.000762297,0,3.0055e-05,0.00115909,472,0.0004,0.0008,359.9,0,0,0.000221315
1,0.00578586,0.00119088,0,5.25377e-05,0.00150446,472,0.0004,0.0008,359.9,0,0,0.000341395
1,0.00651861,0.00175421,0,8.30759e-05,0.00183924,472,0.0004,0.0008,359.9,0,0,0.000489111
1,0.00841837,0.00248481,0,0.000128678,0.00222673,472,0.0004,0.0008,0.100006,0,0,0.000672625
1,0.0091289,0.00333129,0,0.000184996,0.00260067,472,0.0004,0.0008,0.100006,0,0,0.000885014
1,0.0110503,0.00434828,0,0.000262704,0.00303027,472,0.0004,0.0008,0.100006,0,0,0.00113723
1,0.0126118,0.0054628,0,0.000353005,0.00345645,472,0.0006,0.0007,359.9,0,0,0.00141884
1,0.0137962,0.0067032,0,0.000470179,0.00392999,472,0.0006,0.0007,359.9,0,0,0.00174313
1,0.0161592,0.00792852,0,0.000598297,0.00440938,472,0.0006,0.0007,359.9,0,0,0.00209424
1,0.0182538,0.0092647,0,0.000757222,0.00495424,472,0.0008,0.0008,0,0,0,0.00249156
1,0.0201854,0.010549,0,0.00092509,0.00549402,472,0.0012,0.0008,359.9,-0.00263978,-0.000193167,0.00291272
1,0.0229588,0.011981,0,0.00112824,0.00611416,472,0.0012,0.0008,359.9,-0.00263978,-0.000193167,0.00338408
1,0.0248728,0.0134284,0,0.00134052,0.00672425,472,0.0012,0.0008,359.9,-0.00263978,-0.000193167,0.0038784
1,0.026058,0.0150571,0.000551999,0.00159447,0.00739398,472,0.0017,0.0008,0.100006,-0.00213613,3.27533e-05,0.00442596
1,0.0293641,0.0168193,0.000551999,0.00187767,0.00811661,472,0.0017,0.0008,0.100006,-0.00213613,3.27533e-05,0.00501638
1,0.0325738,0.0186025,0.000551999,0.00217008,0.00884221,472,0.0017,0.0008,0.100006,-0.00213613,3.27533e-05,0.00562927
1,0.0353432,0.0204704,0.00125905,0.00249115,0.00960936,472,0.0024,0.0008,359.9,-0.00140008,2.674e-05,0.00628272
1,0.0369904,0.0225195,0.00125905,0.00286785,0.010454,472,0.0024,0.0008,359.9,-0.00140008,2.674e-05,0.007003
1,0.0409471,0.0245891,0.00125905,0.00327784,0.011362,472,0.0035,0.0008,0,-0.00140008,2.674e-05,0.00777147
1,0.0453112,0.0266643,0.00125905,0.00372107,0.0123397,472,0.0035,0.0008,0,-0.00140008,2.674e-05,0.00859022
1,0.0468204,0.0288075,0.00207001,0.00419913,0.0133417,472,0.0035,0.0008,0,-0.000577965,-9.16422e-06,0.00945769
1,0.0512561,0.0309225,0.00207001,0.00467883,0.0143475,472,0.0046,0.0008,0.199997,-0.000577965,-9.16422e-06,0.0103412
1,0.0524356,0.0332006,0.00207001,0.00519393,0.015371,472,0.0046,0.0008,0.199997,-0.000577965,-9.16422e-06,0.0112692
1,0.0576561,0.0357044,0.00207001,0.00574827,0.0164729,472,0.0046,0.0008,0.199997,-0.000577965,-9.16422e-06,0.0122479
1,0.0601122,0.0386936,0.00345628,0.00639128,0.0176875,472,0.0061,0.0008,359.9,0.000770947,0.000366147,0.0133247
1,0.0663547,0.0418822,0.00345628,0.00704343,0.0189198,472,0.0079,0.0008,0.199997,0.000770947,0.000366147,0.0144248
1,0.0678962,0.0456389,0.00345628,0.00780371,0.0202589,472,0.0079,0.0008,0.199997,0.000770947,0.000366147,0.0156399
1,0.0752822,0.0497521,0.00675479,0.00863265,0.0217163,472,0.0079,0.0008,0.199997,0.00410878,9.70084e-05,0.0169378
1,0.0782292,0.0539734,0.00675479,0.00947391,0.0231267,472,0.0099,0.0006,359.8,0.00410878,9.70084e-05,0.0182587
1,0.0819117,0.0587855,0.00675479,0.010453,0.0246901,472,0.0099,0.0006,359.8,0.00410878,9.70084e-05,0.0197212
1,0.0872708,0.0635449,0.00675479,0.0114418,0.0262361,472,0.0099,0.0006,359.8,0.00410878,9.70084e-05,0.0212032
1,0.0898285,0.0687165,0.0101038,0.0125827,0.0279262,472,0.0125,0.0006,0,0.0074566,0.000194479,0.0228374
1,0.0934778,0.0738606,0.0101038,0.0138056,0.0296746,472,0.0125,0.0006,0,0.0074566,0.000194479,0.0245569
1,0.0998676,0.078555,0.0101038,0.0150191,0.0314097,472,0.0159,0.0007,0.100006,0.0074566,0.000194479,0.0262749
1,0.106806,0.0832549,0.0101038,0.0163888,0.0333714,472,0.0159,0.0007,0.100006,0.0074566,0.000194479,0.0281551
1,0.11209,0.0876904,0.0147789,0.0178273,0.0354176,472,0.0159,0.0007,0.100006,0.0121286,0.000364674,0.0301155
1,0.115908,0.0916242,0.0147789,0.0192312,0.0373932,472,0.0194,0.0007,0.100006,0.0121286,0.000364674,0.0320513
1,0.121267,0.0954238,0.0147789,0.0206911,0.0394492,472,0.0194,0.0007,0.100006,0.0121286,0.000364674,0.0340501
1,0.126439,0.0995382,0.0204075,0.0223166,0.041725,472,0.0194,0.0007,0.100006,0.0177645,0.000169105,0.0362213
1,0.132517,0.103905,0.0204075,0.024014,0.0440981,472,0.023,0.0007,359.9,0.0177645,0.000169105,0.0384748
1,0.139173,0.108388,0.0204075,0.0256735,0.0464227,472,0.0275,0.0007,0,0.0177645,0.000169105,0.040702
1,0.142305,0.113753,0.0204075,0.0275364,0.0489524,472,0.0275,0.0007,0,0.0177645,0.000169105,0.0431337
1,0.145191,0.119166,0.0264721,0.0293645,0.0513672,472,0.0275,0.0007,0,0.0238324,-0.000197209,0.0455343
1,0.149885,0.125273,0.0264721,0.0314177,0.0540182,472,0.0325,0.0007,0,0.0238324,-0.000197209,0.048155
1,0.156938,0.131088,0.0264721,0.0334276,0.0566093,472,0.0325,0.0007,0,0.0238324,-0.000197209,0.0507385
1,0.164467,0.1368,0.0335807,0.0355225,0.0593133,472,0.0325,0.0007,0,0.030936,0.00038548,0.053411
1,0.167402,0.142559,0.0335807,0.0378495,0.0622445,472,0.0386,0.0009,359.9,0.030936,0.00038548,0.0563152
1,0.175116,0.147635,0.0335807,0.0401021,0.0651083,472,0.0386,0.0009,359.9,0.030936,0.00038548,0.0591555
1,0.179508,0.152411,0.0335807,0.0424241,0.0680379,472,0.0442,0.0009,359.9,0.030936,0.00038548,0.0620691
1,0.185857,0.157398,0.0428249,0.0449823,0.0712644,472,0.0442,0.0009,359.9,0.040178,0.000585154,0.0652226
1,0.188223,0.162162,0.0428249,0.0474505,0.0743247,472,0.0442,0.0009,359.9,0.040178,0.000585154,0.0682895
1,0.19662,0.167156,0.0428249,0.0499953,0.077511,472,0.0506,0.0009,359.9,0.040178,0.000585154,0.0714355
