行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移,编码器位移,qr_code_num,qr_code_x,qr_code_y,qr_code_r,x_slam,y_slam,组合导航位移
0,0.000245895,0,0,-2.68454e-08,5.65559e-06,472,0.004,0.0086,356.4,0,0,5.59959e-08
0,0.000198606,0,0,-5.35824e-08,8.63467e-06,472,0.004,0.0086,356.4,0,0,2.23389e-07
0,0.000249666,0,0,-8.40031e-08,1.26293e-05,472,0.004,0.0086,356.4,0,0,5.79025e-07
0,0.000426959,0,0,-1.14424e-07,1.94607e-05,472,0.004,0.0086,356.4,0,0,1.28194e-06
0,0.000385668,0,0,-1.44844e-07,2.56314e-05,472,0.004,0.0086,356.4,0,0,2.38003e-06
0,0.000688328,0,0,-5.12227e-08,3.66446e-05,472,0.004,0.0086,356.4,0,0,4.16933e-06
1,0.00162577,0.000138008,0,3.05396e-06,0.000298031,472,0.004,0.0086,356.4,0,0,2.33313e-05
0,0.00142897,0.000180722,0,6.28723e-06,0.000320895,472,0.004,0.0086,356.5,0,0,4.51334e-05
1,0.00294625,0.000374448,0,1.38282e-05,0.000620835,472,0.004,0.0086,356.5,0,0,9.04646e-05
1,0.00330617,0.000598105,0,2.44772e-05,0.000907427,472,0.004,0.0086,356.5,0,0,0.000158631
1,0.00431432,0.000883191,0,4.0889e-05,0.00122926,472,0.004,0.0086,356.4,0,0,0.000253966
1,0.00533725,0.0012303,0,6.33506e-05,0.00156745,472,0.004,0.0086,356.4,0,0,0.000377051
1,0.00612101,0.00163943,0,9.28545e-05,0.00191819,472,0.004,0.0086,356.4,0,0,0.000528263
1,0.00780448,0.00204137,0,0.00012649,0.00227226,472,0.004,0.0086,356.5,0,0,0.000703954
1,0.00917107,0.0024883,0,0.000169878,0.00267179,472,0.004,0.0086,356.5,0,0,0.000910506
1,0.0110476,0.00291972,0,0.000220045,0.00310135,472,0.0041,0.0085,356.5,0,0,0.00114589
1,0.013068,0.00326808,0,0.000271679,0.00353437,472,0.0041,0.0085,356.5,0.00111989,0.00455918,0.0014037
1,0.0145923,0.00354881,0,0.000330705,0.00402065,472,0.0041,0.0085,356.5,0.00111989,0.00455918,0.00169163
1,0.0158233,0.00370498,0,0.000391235,0.00452662,472,0.0041,0.0085,356.5,0.00111989,0.00455918,0.0020039
1,0.0185486,0.00372056,0,0.00044716,0.00504185,472,0.0041,0.0085,356.5,0.00111989,0.00455918,0.00233363
1,0.0206008,0.00361734,0.000311305,0.000500646,0.00558786,472,0.0041,0.0085,356.5,0.00098318,0.00483886,0.0026837
1,0.0226627,0.00339869,0.000311305,0.000553276,0.00620327,472,0.0043,0.0085,356.3,0.00098318,0.00483886,0.00306007
1,0.0254738,0.00310601,0.000311305,0.000597671,0.00682238,472,0.0043,0.0085,356.4,0.00098318,0.00483886,0.00345339
1,0.0277817,0.00280745,0.000311305,0.000637543,0.0074761,472,0.0043,0.0085,356.4,0.00098318,0.00483886,0.00386826
1,0.0297005,0.00252343,0.00068218,0.000673265,0.00815861,472,0.0043,0.0085,356.4,0.000480839,0.00479789,0.00430545
1,0.0334752,0.00226916,0.00068218,0.000707537,0.00894701,472,0.0043,0.0085,356.5,0.000480839,0.00479789,0.00477524
1,0.033856,0.00208909,0.00068218,0.000737523,0.00969185,472,0.0043,0.0085,356.5,0.000480839,0.00479789,0.0052673
1,0.0373046,0.00200026,0.000435427,0.000768816,0.0105415,472,0.0043,0.0085,356.5,0.000883165,0.00492464,0.00579446
1,0.0415953,0.00198753,0.000435427,0.000800515,0.0114599,472,0.0043,0.0085,356.4,0.000883165,0.00492464,0.00635907
1,0.0474624,0.00207906,0.000435427,0.000832388,0.0124088,472,0.0043,0.0085,356.4,0.000883165,0.00492464,0.00696006
1,0.0478474,0.00252368,0.000435427,0.000873577,0.0133635,472,0.0043,0.0085,356.4,0.000883165,0.00492464,0.0076011
1,0.0499487,0.00342472,0.000338896,0.000931706,0.0143497,472,0.0043,0.0085,356.4,0.00101936,0.00488283,0.00828753
1,0.0529832,0.00534029,0.000338896,0.00103248,0.0154503,472,0.0043,0.0085,356.4,0.00101936,0.00488283,0.00904445
1,0.0600505,0.00831849,0.000338896,0.0011894,0.0166639,472,0.0046,0.0085,356.4,0.00101936,0.00488283,0.00988817
1,0.064038,0.0124491,0.000567063,0.00140711,0.0178614,472,0.0046,0.0085,356.4,0.000703403,0.00417435,0.0108143
1,0.0670828,0.0178153,0.000567063,0.00171459,0.0191047,472,0.0046,0.0085,356.4,0.000703403,0.00417435,0.0118437
1,0.0675749,0.0248508,0.000567063,0.00214012,0.0203553,472,0.0056,0.0083,356.5,0.000703403,0.00417435,0.0129897
1,0.0749452,0.0331804,0.000567063,0.00273764,0.0218072,472,0.007,0.0082,356.2,0.000703403,0.00417435,0.0143081
1,0.0789065,0.0418009,0.000649883,0.00342931,0.0232278,472,0.007,0.0082,356.2,0.0012107,0.00520269,0.0157234
1,0.0830559,0.0507578,0.000649883,0.00425785,0.0247107,472,0.007,0.0082,356.2,0.0012107,0.00520269,0.0172667
1,0.0886481,0.0602139,0.000649883,0.00529692,0.0263818,472,0.0093,0.0081,356.3,0.0012107,0.00520269,0.0190052
1,0.0895064,0.0692096,0.00365626,0.00647624,0.0280667,472,0.0093,0.0081,356.3,0.00452764,0.00588411,0.0208688
1,0.0946412,0.0774345,0.00365626,0.00778099,0.0298338,472,0.0093,0.0081,356.3,0.00452764,0.00588411,0.0228425
1,0.100648,0.0848247,0.00365626,0.00919731,0.031697,472,0.0121,0.0079,356.3,0.00452764,0.00588411,0.0249126
1,0.106482,0.0905667,0.00365626,0.0105989,0.0335312,472,0.0121,0.0079,356.3,0.00452764,0.00588411,0.0269616
1,0.111581,0.0956099,0.00922975,0.012169,0.0355693,472,0.0157,0.0076,356.4,0.010246,0.00593815,0.0291645
1,0.115682,0.0994689,0.00922975,0.01369,0.0375415,472,0.0157,0.0076,356.4,0.010246,0.00593815,0.0313114
1,0.122169,0.102992,0.00922975,0.015366,0.039749,472,0.0157,0.0076,356.3,0.010246,0.00593815,0.033605
1,0.127801,0.106388,0.00922975,0.0170954,0.0420466,472,0.0197,0.0075,356.3,0.010246,0.00593815,0.0359483
1,0.13342,0.109746,0.016468,0.0187668,0.0442849,472,0.0197,0.0075,356.3,0.017554,0.00561406,0.0382308
1,0.138471,0.113824,0.016468,0.0206206,0.0467533,472,0.0197,0.0075,356.3,0.017554,0.00561406,0.0406894
1,0.141879,0.11846,0.016468,0.0224323,0.0491185,472,0.0241,0.0073,356.5,0.017554,0.00561406,0.0430991
1,0.145954,0.123859,0.0227129,0.0243306,0.0515448,472,0.0288,0.0069,356.3,0.0238241,0.00393417,0.0455836
1,0.151581,0.130219,0.0227129,0.026465,0.0542229,472,0.0288,0.0069,356.3,0.0238241,0.00393417,0.0482907
1,0.159489,0.136448,0.0227129,0.0285584,0.0568522,472,0.0288,0.0069,356.3,0.0238241,0.00393417,0.0509571
1,0.163137,0.142645,0.0227129,0.0307446,0.0595363,472,0.0343,0.0069,356,0.0238241,0.00393417,0.0537093
1,0.16823,0.148965,0.0311231,0.0331786,0.0624807,472,0.0343,0.0069,356,0.0322393,0.00407826,0.0567004
1,0.17597,0.154355,0.0311231,0.0355343,0.0653573,472,0.0343,0.0069,356,0.0322393,0.00407826,0.0596189
1,0.179383,0.159265,0.0311231,0.0379601,0.068285,472,0.0401,0.006,356.2,0.0322393,0.00407826,0.062605
1,0.186584,0.164151,0.0311231,0.0406256,0.0715232,472,0.0401,0.006,356.2,0.0322393,0.00407826,0.0658299
1,0.188883,0.16864,0.0404734,0.0431889,0.0745934,472,0.0467,0.006,356.2,0.041593,0.00442482,0.0689525
1,0.196634,0.173281,0.0404734,0.0458229,0.0777799,472,0.0467,0.006,356.2,0.041593,0.00442482,0.0721442
1,0.202417,0.178201,0.0404734,0.0485328,0.0810532,472,0.0467,0.006,356.2,0.041593,0.00442482,0.0754104
1,0.204467,0.183918,0.0404734,0.0515213,0.0845774,472,0.0541,0.006,356.2,0.041593,0.00442482,0.0789452
1,0.211447,0.189931,0.0500268,0.0546083,0.0882134,472,0.0541,0.006,356.2,0.0511385,0.00365087,0.0825766
1,0.21745,0.196058,0.0500268,0.0577942,0.0919454,472,0.0541,0.006,355.8,0.0511385,0.00365087,0.0863064
1,0.21878,0.201795,0.0500268,0.0608642,0.0954641,472,0.0614,0.0054,355.8,0.0511385,0.00365087,0.0899165
1,0.224536,0.207678,0.0615427,0.0642341,0.0993095,472,0.0614,0.0054,355.8,0.0626382,0.00282369,0.0938167
1,0.230419,0.21284,0.0615427,0.0674654,0.103003,472,0.0614,0.0054,355.8,0.0626382,0.00282369,0.0975795
1,0.23659,0.217922,0.0615427,0.0709928,0.107041,472,0.0614,0.0054,355.8,0.0626382,0.00282369,0.101635
1,0.240118,0.222721,0.0615427,0.0745947,0.111136,472,0.0614,0.0054,355.8,0.0626382,0.00282369,0.105763
1,0.243904,0.226998,0.0742626,0.0780318,0.115031,472,0.0614,0.0054,355.8,0.0753497,0.00235045,0.109726
1,0.249106,0.231573,0.0742626,0.0817735,0.11927,472,0.0614,0.0054,355.8,0.0753497,0.00235045,0.113986
1,0.252715,0.236301,0.0742626,0.0855922,0.123566,472,0.0614,0.0054,355.8,0.0753497,0.00235045,0.118319
1,0.2585,0.241008,0.0890756,0.0892426,0.12768,472,0.0614,0.0054,355.8,0.0901422,0.00147755,0.12248
1,0.260346,0.246431,0.0890756,0.0932289,0.132099,472,0.0614,0.0054,355.8,0.0901422,0.00147755,0.126963
1,0.261807,0.25175,0.0890756,0.097045,0.136263,472,0.0614,0.0054,355.8,0.0901422,0.00147755,0.131265
1,0.267426,0.257189,0.0890756,0.100944,0.140511,472,0.0614,0.0054,355.8,0.0901422,0.00147755,0.135635
1,0.272415,0.262932,0.103365,0.105196,0.145123,472,0.0614,0.0054,355.8,0.104445,0.0016808,0.140345
1,0.27634,0.268097,0.103365,0.109257,0.149505,472,0.0614,0.0054,355.8,0.104445,0.0016808,0.144855
1,0.277609,0.273087,0.103365,0.113666,0.154199,472,0.0614,0.0054,355.8,0.104445,0.0016808,0.149697
1,0.279538,0.277412,0.103365,0.11786,0.158629,472,0.0614,0.0054,355.8,0.104445,0.0016808,0.154312
1,0.283892,0.281444,0.119647,0.122395,0.163425,472,0.0614,0.0054,355.8,0.120711,0.000906954,0.159254
1,0.28793,0.284485,0.119647,0.126685,0.167981,472,0.0614,0.0054,355.8,0.120711,0.000906954,0.163945
1,0.289646,0.287259,0.119647,0.131303,0.172868,472,0.0614,0.0054,355.8,0.120711,0.000906954,0.168953
1,0.291382,0.289494,0.13662,0.135663,0.177475,472,0.0614,0.0054,355.8,0.137643,-0.000588262,0.173693
