行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移,编码器位移,qr_code_num,qr_code_x,qr_code_y,qr_code_r,x_slam,y_slam,组合导航位移
0,6.01722e-05,0,0,-1.98892e-07,9.02583e-07,472,0.0016,0.0007,355.9,0,0,8.93646e-09
0,0.000129238,0,0,-3.05164e-07,2.84116e-06,472,0.0016,0.0006,355.9,0,0,6.42007e-08
0,0,0,0,-4.44587e-07,2.84116e-06,472,0.0016,0.0006,355.9,0,0,1.43807e-07
0,0.000215057,0,0,-4.6012e-07,6.28207e-06,472,0.0016,0.0006,355.9,0,0,3.72317e-07
0,0.000300664,0,0,-4.57508e-07,1.0792e-05,472,0.0016,0.0006,355.9,0,0,8.42219e-07
0,0.000530518,0,0,-4.38628e-07,1.87498e-05,472,0.0016,0.0006,355.9,0,0,1.77736e-06
0,0.000670394,0,0,-4.0348e-07,2.88057e-05,472,0.0016,0.0006,355.9,0,0,3.36056e-06
1,0.00210538,0.000127312,0,2.65201e-06,0.000315292,472,0.0016,0.0006,355.9,0,0,2.52849e-05
1,0.00166117,0.000273053,0,7.84085e-06,0.000577209,472,0.0016,0.0007,355.9,0,0,6.72098e-05
1,0.00308337,0.000443481,0,1.63e-05,0.000879343,472,0.0016,0.0007,355.9,0,0,0.000133284
1,0.00435871,0.000648981,0,2.75759e-05,0.00118172,472,0.0016,0.0007,355.9,0,0,0.000222855
1,0.00493925,0.000900951,0,4.40069e-05,0.00151355,472,0.0016,0.0007,355.9,0,0,0.00033927
1,0.00618376,0.00118241,0,6.38541e-05,0.00184331,472,0.0016,0.0007,355.9,0,0,0.000479628
1,0.00766466,0.0014837,0,8.83692e-05,0.00219528,472,0.0016,0.0007,355.9,0,0,0.000645262
1,0.00840412,0.00180558,0,0.000119834,0.00258254,472,0.0016,0.0006,355.9,0,0,0.000839193
1,0.0104923,0.00204926,0,0.0001524,0.00297693,472,0.0016,0.0006,355.9,0,0,0.00105533
1,0.0111314,0.00223901,0,0.000189742,0.00340783,472,0.0017,0.0007,355.9,0,0,0.00129791
1,0.0127228,0.00232712,0,0.000227681,0.00386419,472,0.0017,0.0007,355.9,0,0,0.00156348
1,0.0154349,0.00233062,0,0.000262667,0.00433272,472,0.0017,0.0007,355.9,-0.00424722,-0.00520877,0.00184766
1,0.0176312,0.00224646,0,0.000295732,0.00483419,472,0.0017,0.0007,356,-0.00424722,-0.00520877,0.00215259
1,0.0197901,0.00211658,0,0.000326507,0.00536804,472,0.0017,0.0007,356,-0.00424722,-0.00520877,0.00247864
1,0.0219849,0.00196899,0.000413156,0.00035683,0.0059726,472,0.0017,0.0007,356,-0.00413561,-0.00481098,0.00283187
1,0.0244452,0.00183296,0.000413156,0.000385069,0.00661652,472,0.0017,0.0007,355.8,-0.00413561,-0.00481098,0.00321163
1,0.0253636,0.00177001,0.000413156,0.000411147,0.00723397,472,0.0017,0.0007,355.8,-0.00413561,-0.00481098,0.00361236
1,0.0289525,0.00176713,0.000413156,0.000439398,0.00795001,472,0.0017,0.0007,355.8,-0.00413561,-0.00481098,0.00404532
1,0.030951,0.00185716,0.000679788,0.000469833,0.00869803,472,0.0017,0.0007,355.8,-0.00379874,-0.00469791,0.00451019
1,0.0332133,0.00200981,0.000679788,0.000501125,0.00943323,472,0.0017,0.0007,356,-0.00379874,-0.00469791,0.00500177
1,0.0330663,0.00220002,0.000679788,0.000537847,0.0102151,472,0.0017,0.0007,356,-0.00379874,-0.00469791,0.00552608
1,0.0407999,0.00239112,0.00105112,0.000575147,0.0110641,472,0.0017,0.0007,356,-0.00319638,-0.00518421,0.00608232
1,0.0483013,0.0026413,0.00105112,0.000619409,0.0120897,472,0.0017,0.0007,355.9,-0.00319638,-0.00518421,0.00668933
1,0.0465099,0.00307388,0.00105112,0.000668761,0.0130244,472,0.0017,0.0007,355.9,-0.00319638,-0.00518421,0.00733136
1,0.0468164,0.00393445,0.00105112,0.000734233,0.0139636,472,0.0018,0.0007,355.8,-0.00319638,-0.00518421,0.00801367
1,0.0494913,0.00580807,0.000302008,0.000842151,0.0150083,472,0.0018,0.0007,355.8,-0.00405762,-0.0049737,0.00876142
1,0.0577609,0.00891492,0.000302008,0.00100964,0.0161852,472,0.0018,0.0007,355.8,-0.00405762,-0.0049737,0.0095952
1,0.0639663,0.0132266,0.000302008,0.00124038,0.0173817,472,0.0023,0.0007,355.9,-0.00405762,-0.0049737,0.0105142
1,0.0658782,0.0190168,0.000302008,0.00156906,0.0186069,472,0.0023,0.0007,355.9,-0.00405762,-0.0049737,0.011541
1,0.0642948,0.026516,0.000241458,0.00205331,0.0198884,472,0.0023,0.0007,355.9,-0.00400986,-0.00525311,0.0127181
1,0.072116,0.0348868,0.000241458,0.00267846,0.0212951,472,0.0037,0.0004,356,-0.00400986,-0.00525311,0.0140384
1,0.0759693,0.0433456,0.000241458,0.00339209,0.0226716,472,0.0053,0.0005,356,-0.00400986,-0.00525311,0.0154473
1,0.0827603,0.0524535,0.00261544,0.00430421,0.0242486,472,0.0053,0.0005,356,-0.00179394,-0.00430215,0.0170435
