行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移,编码器位移,qr_code_num,qr_code_x,qr_code_y,qr_code_r,x_slam,y_slam,组合导航位移
0,0,0,0,5.4449e-08,0,472,0.0015,0.0007,0.100006,0,0,0
0,5.42386e-05,0,0,1.16954e-07,8.13579e-07,472,0.0015,0.0007,0.100006,0,0,1.58751e-08
0,4.23764e-05,0,0,1.73485e-07,1.44923e-06,472,0.0015,0.0007,0.100006,0,0,5.69644e-08
0,0.00082532,0,0,2.37804e-07,1.46544e-05,472,0.0015,0.0007,0.100006,0,0,6.00384e-07
0,0.000910927,0,0,2.94335e-07,2.83183e-05,472,0.0015,0.0007,0.100006,0,0,1.85039e-06
0,4.58537e-05,0,0,3.50865e-07,2.90061e-05,472,0.0015,0.0007,0.100006,0,0,3.26846e-06
0,0.000912907,0,0,5.40272e-07,4.36126e-05,472,0.0015,0.0007,0.100006,0,0,5.63164e-06
1,0.00191891,0.000160161,0,4.38414e-06,0.000327115,472,0.0015,0.0007,0.100006,0,0,2.86609e-05
1,0.00258278,0.000339629,0,1.08246e-05,0.000602857,472,0.0015,0.0007,0.100006,0,0,7.30534e-05
1,0.0032047,0.000562332,0,2.16035e-05,0.000906932,472,0.0015,0.0007,0.100006,0,0,0.000142483
1,0.00451361,0.000815091,0,3.57256e-05,0.00121164,472,0.0015,0.0007,0.100006,0,0,0.000235946
1,0.00583413,0.00117851,0,5.74892e-05,0.00155778,472,0.0015,0.0007,0.100006,0,0,0.000358936
1,0.00705496,0.00160351,0,8.65454e-05,0.00192346,472,0.0015,0.0007,0.100006,0,0,0.000511551
1,0.00844177,0.00207911,0,0.000121299,0.00228709,472,0.0015,0.0007,0.100006,0,0,0.000690431
1,0.00891191,0.00264174,0,0.000165145,0.00265777,472,0.0015,0.0007,359.9,0,0,0.000896769
1,0.0100906,0.00335206,0,0.00022446,0.00307202,472,0.0015,0.0007,359.9,-0.00234365,-0.00160263,0.00113709
1,0.0120114,0.0040682,0,0.000290854,0.00348919,472,0.0015,0.0007,359.9,-0.00234365,-0.00160263,0.00140258
1,0.0145007,0.0048819,0,0.000375474,0.003974,472,0.0015,0.0007,0.100006,-0.00234365,-0.00160263,0.0017058
1,0.0162385,0.00570849,0,0.000467301,0.00445458,472,0.0016,0.0007,0.100006,-0.00234365,-0.00160263,0.00203417
1,0.0174957,0.00661007,0.0011933,0.000580275,0.00498731,472,0.0018,0.0007,359.9,-0.00135063,-0.00226435,0.00240147
1,0.0191967,0.0074445,0.0011933,0.000698201,0.00551226,472,0.0018,0.0007,359.9,-0.00135063,-0.00226435,0.00279038
1,0.0217243,0.00827853,0.0011933,0.00083733,0.00611265,472,0.0018,0.0007,359.9,-0.00135063,-0.00226435,0.00321923
1,0.0234349,0.0090466,0.0011933,0.000978789,0.00670117,472,0.0021,0.0007,359.9,-0.00135063,-0.00226435,0.00366719
1,0.0270991,0.00981215,0.00100742,0.00113171,0.00734466,472,0.0021,0.0007,359.9,-0.00147841,-0.00211863,0.00414496
1,0.0307707,0.0106408,0.00100742,0.00130859,0.00808979,472,0.0021,0.0007,359.9,-0.00147841,-0.00211863,0.00466967
1,0.0322757,0.0115452,0.00100742,0.00150055,0.008859,472,0.0025,0.0007,0.100006,-0.00147841,-0.00211863,0.00523134
1,0.0329498,0.0124968,0.001199,0.00169514,0.00959025,472,0.003,0.0007,359.8,-0.00114643,-0.00166775,0.0058122
1,0.0369958,0.0137766,0.001199,0.00192581,0.010435,472,0.003,0.0007,359.8,-0.00114643,-0.00166775,0.00644845
1,0.039851,0.0152026,0.001199,0.00216454,0.0112697,472,0.003,0.0007,359.8,-0.00114643,-0.00166775,0.0071109
1,0.0438646,0.0170844,0.001199,0.00245294,0.0122244,472,0.0036,0.0007,359.8,-0.00114643,-0.00166775,0.00784249
1,0.0478827,0.0193289,0.00228024,0.00278016,0.0132433,472,0.0036,0.0007,359.8,-6.50305e-05,-0.00151684,0.00863422
1,0.0494395,0.0218018,0.00228024,0.00312574,0.0142219,472,0.0036,0.0007,359.8,-6.50305e-05,-0.00151684,0.00946008
