行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移,编码器位移,qr_code_num,qr_code_x,qr_code_y,qr_code_r,x_slam,y_slam,组合导航位移
0,0,3.78656e-05,0,1.36316e-06,0,472,0.0003,0.0001,359.7,0,0,8.99778e-07
0,0,0,0,1.41382e-06,0,472,0.0003,0,359.7,0,0,8.82221e-07
0,0.000239729,0,0,1.49055e-06,3.83567e-06,472,0.0003,0,359.7,0,0,9.66886e-07
0,0.000781991,0,0,1.56727e-06,1.63475e-05,472,0.0004,0.0001,359.7,0,0,1.53946e-06
0,0.000631916,0,0,1.74477e-06,2.58263e-05,472,0.0004,0.0001,359.7,0,0,2.63474e-06
0,0.000679967,0,0,1.94672e-06,3.67057e-05,472,0.0004,0.0001,359.7,0,0,4.41393e-06
1,0.00160437,0.000136166,0,5.01045e-06,0.000297771,472,0.0004,0.0001,359.7,0,0,2.35204e-05
1,0.00214289,0.000272332,0,1.01167e-05,0.000566915,472,0.0004,0.0001,359.7,0,0,6.22154e-05
1,0.00310146,0.000423592,0,1.7605e-05,0.000850436,472,0.0004,0.0001,359.7,0,0,0.000122559
1,0.00326112,0.000601061,0,2.86417e-05,0.00115541,472,0.0004,0.0001,359.7,0,0,0.00020714
1,0.00372532,0.000778083,0,4.25072e-05,0.00146782,472,0.0004,0.0001,359.7,0,0,0.00031553
1,0.00588417,0.00094404,0,5.79125e-05,0.00179308,472,0.0004,0.0001,359.7,0,0,0.000446645
1,0.00614565,0.00112106,0,7.72657e-05,0.00214421,472,0.0004,0.0001,359.7,0,0,0.000603153
1,0.00793087,0.00127193,0,9.7476e-05,0.00250018,472,0.0004,0.0001,359.7,0,0,0.000781236
1,0.0100211,0.001393,0,0.000119279,0.00288749,472,0.0004,0.0001,359.7,0,0,0.000982478
1,0.0113207,0.00148472,0,0.000142238,0.0032943,472,0.0008,-0.0004,359.7,0,0,0.00120621
1,0.0125374,0.00156691,0,0.000167966,0.0037477,472,0.0008,-0.0004,359.7,0,0,0.00145586
1,0.0136609,0.00164909,0,0.000195009,0.00421908,472,0.0008,-0.0004,359.7,0,0,0.00172935
1,0.0159844,0.00174082,0,0.000221809,0.00469584,472,0.0004,-0.0001,359.7,0,0,0.00202346
1,0.0179333,0.00190126,0,0.000253513,0.00523557,472,0.0004,-0.0001,359.7,-0.00451247,-0.00315515,0.00234614
