行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移,编码器位移,qr_code_num,qr_code_x,qr_code_y,qr_code_r,x_slam,y_slam,组合导航位移
0,0.000106028,0,0,-4.02497e-07,2.54468e-06,472,-0.0002,0.0021,358,0,0,2.51949e-08
0,5.84453e-05,0,0,-5.56161e-07,3.42136e-06,472,-0.0002,0.002,358,0,0,9.14632e-08
0,5.12372e-05,0,0,-7.44814e-07,4.24116e-06,472,-0.0002,0.002,358,0,0,2.10421e-07
0,0.000766677,0,0,-9.10621e-07,1.57413e-05,472,-0.0002,0.002,358,0,0,7.88593e-07
0,0.000686847,0,0,-1.07643e-06,2.6044e-05,472,-0.0002,0.002,358,0,0,1.92755e-06
0,0.000839216,0,0,-1.26508e-06,3.94715e-05,472,-0.0002,0.002,358,0,0,3.8881e-06
1,0.00170738,9.81456e-05,0,1.09041e-06,0.00031959,472,-0.0002,0.002,358,0,0,2.38588e-05
1,0.00265141,0.000204272,0,4.95043e-06,0.000596361,472,-0.0002,0.002,358,0,0,6.34665e-05
1,0.00289603,0.000333035,0,1.13091e-05,0.000895497,472,-0.0002,0.002,358,0,0,0.000125881
1,0.00431607,0.000468341,0,1.9349e-05,0.00119724,472,-0.0002,0.002,358,0,0,0.000210881
1,0.00449088,0.000628229,0,3.06798e-05,0.00152189,472,-0.0002,0.002,358,0,0,0.000320926
1,0.00536391,0.000793189,0,4.38148e-05,0.00183935,472,-0.0002,0.002,358,0,0,0.000453225
1,0.00603061,0.000956055,0,5.93771e-05,0.00216681,472,-0.0002,0.002,358.1,0,0,0.000607756
1,0.00808254,0.00110433,0,7.70542e-05,0.00252505,472,-0.0002,0.002,358,0,0,0.000785254
1,0.0102029,0.00123137,0,9.77724e-05,0.00294109,472,-0.0002,0.002,358,0,0,0.000989693
1,0.0114972,0.00132129,0,0.000118266,0.00335055,472,-0.0002,0.002,358,0,0,0.00121551
1,0.0139222,0.00138607,0,0.000140961,0.00382611,472,-0.0001,0.002,358,0,0,0.00146869
1,0.0155227,0.00141925,0,0.000162499,0.00429595,472,-0.0001,0.002,358,0,0,0.00174332
1,0.0170559,0.00143857,0,0.000185671,0.00482164,472,-0.0001,0.002,358,0,0,0.00204482
1,0.0198209,0.0014584,0,0.000209164,0.00539158,472,-0.0001,0.0021,358,0,0,0.00237342
1,0.0214783,0.00149157,0,0.000231786,0.00595075,472,-0.0001,0.0021,358,-0.00556312,0.000773495,0.00272441
1,0.0236407,0.00156466,0,0.000255804,0.00654236,472,-0.0001,0.002,358,-0.00556312,0.000773495,0.00310047
1,0.0239558,0.00166531,0,0.000281539,0.0071387,472,-0.0001,0.002,358,-0.00556312,0.000773495,0.00349995
1,0.0259693,0.0018038,0,0.000311508,0.00780701,472,-0.0001,0.002,358,-0.00556312,0.000773495,0.00392943
1,0.0303416,0.00196652,0.000711444,0.000342226,0.00849913,472,-0.0001,0.0019,358,-0.00488775,0.000549822,0.00438529
1,0.0345615,0.00218867,0.000711444,0.000376722,0.00925456,472,-0.0001,0.0019,358,-0.00488775,0.000549822,0.00487337
1,0.0363819,0.00255682,0.000711444,0.000420576,0.0100895,472,-0.0001,0.0019,358,-0.00488775,0.000549822,0.00540234
1,0.0384421,0.00332781,0.000711444,0.000479989,0.0109573,472,-0.0003,0.0021,358,-0.00488775,0.000549822,0.00597525
1,0.0409959,0.00454651,0.000704032,0.000557327,0.0118093,472,-0.0001,0.002,357.9,-0.00490875,0.000513776,0.00658876
1,0.046519,0.00662074,0.000704032,0.000679853,0.0128064,472,-0.0001,0.002,357.9,-0.00490875,0.000513776,0.00727332
1,0.0503284,0.00960055,0.000704032,0.0008573,0.0138644,472,-0.0001,0.002,357.9,-0.00490875,0.000513776,0.00803693
1,0.0511253,0.0132039,6.24482e-05,0.00108238,0.0148683,472,0.0006,0.002,358,-0.00560766,0.000817266,0.00886398
1,0.0553907,0.0178287,6.24482e-05,0.0013845,0.0159362,472,0.0006,0.002,358,-0.00560766,0.000817266,0.00977704
1,0.0577663,0.0235268,6.24482e-05,0.00180651,0.0171132,472,0.0006,0.002,358,-0.00560766,0.000817266,0.0108141
1,0.0644201,0.0295061,6.24482e-05,0.00229395,0.0183165,472,0.0016,0.0019,357.9,-0.00560766,0.000817266,0.0119271
1,0.0679072,0.0358803,0.000854652,0.00287996,0.0195721,472,0.0016,0.0019,357.8,-0.00491583,0.00133157,0.0131404
1,0.072298,0.0424727,0.000854652,0.00356649,0.0208936,472,0.0031,0.0019,357.8,-0.00491583,0.00133157,0.0144536
1,0.0753579,0.0495926,0.000854652,0.00441693,0.0223521,472,0.0031,0.0019,357.8,-0.00491583,0.00133157,0.0159223
1,0.0791344,0.0562161,0.00412417,0.00530985,0.0237762,472,0.0031,0.0019,357.8,-0.00169237,0.00219689,0.0174319
1,0.0847252,0.0626573,0.00412417,0.00629802,0.025284,472,0.0054,0.0018,357.8,-0.00169237,0.00219689,0.0190289
1,0.0858046,0.0687991,0.00412417,0.00737607,0.0268081,472,0.0054,0.0018,357.8,-0.00169237,0.00219689,0.0207024
1,0.0909467,0.0748544,0.00412417,0.00862218,0.028516,472,0.0054,0.0018,357.8,-0.00169237,0.00219689,0.0225291
1,0.0983662,0.080323,0.00831869,0.0099511,0.0303427,472,0.0083,0.0017,357.9,0.0027016,0.00171954,0.0244351
1,0.101866,0.0848887,0.00831869,0.0112587,0.0321077,472,0.0118,0.0017,357.8,0.0027016,0.00171954,0.026317
1,0.107881,0.0892141,0.00831869,0.0127207,0.0340866,472,0.0118,0.0017,357.8,0.0027016,0.00171954,0.0283475
1,0.113272,0.0928764,0.00831869,0.0141413,0.0360227,472,0.0118,0.0017,357.8,0.0027016,0.00171954,0.0303381
1,0.117712,0.0964272,0.0129065,0.0156144,0.0380253,472,0.0156,0.0016,358.1,0.00733433,0.00125724,0.0323781
1,0.124472,0.100062,0.0129065,0.0171425,0.0401294,472,0.0156,0.0016,358.1,0.00733433,0.00125724,0.0344735
1,0.12579,0.104256,0.0129065,0.0188442,0.0423949,472,0.0156,0.0016,358.1,0.00733433,0.00125724,0.0367364
1,0.136658,0.108909,0.0188763,0.020624,0.0448342,472,0.0196,0.0015,357.8,0.013301,9.56557e-05,0.0390834
1,0.141045,0.113777,0.0188763,0.0223671,0.0471869,472,0.0196,0.0015,358.1,0.013301,9.56557e-05,0.0413985
1,0.146909,0.119451,0.0188763,0.0243237,0.0497902,472,0.0239,0.0015,358.1,0.013301,9.56557e-05,0.0439262
1,0.147653,0.12546,0.0188763,0.0263792,0.0524055,472,0.0239,0.0015,358.1,0.013301,9.56557e-05,0.0465491
1,0.152643,0.131198,0.0255029,0.0283902,0.0549321,472,0.0239,0.0015,357.9,0.0199349,0.00027142,0.0491273
1,0.160424,0.136836,0.0255029,0.030485,0.0575755,472,0.0293,0.0013,357.9,0.0199349,0.00027142,0.0517882
1,0.163546,0.142262,0.0255029,0.0326596,0.0602657,472,0.0293,0.0013,357.9,0.0199349,0.00027142,0.0545256
1,0.170098,0.147783,0.0255029,0.0350683,0.06324,472,0.0293,0.0013,357.9,0.0199349,0.00027142,0.0574941
1,0.179644,0.15272,0.0339755,0.0373962,0.0661717,472,0.0351,0.0009,357.9,0.0284119,0.00058405,0.0603925
1,0.181615,0.157601,0.0339755,0.0397968,0.0691329,472,0.0415,0.001,357.9,0.0284119,0.00058405,0.063363
1,0.188547,0.162631,0.0339755,0.042274,0.0721981,472,0.0415,0.001,357.9,0.0284119,0.00058405,0.0664109
1,0.191341,0.16829,0.0436824,0.0450119,0.0755123,472,0.0415,0.001,357.9,0.0381162,0.000254534,0.0697131
1,0.196479,0.173961,0.0436824,0.0476639,0.0786965,472,0.0479,0.0005,357.9,0.0381162,0.000254534,0.0729289
1,0.203483,0.180443,0.0436824,0.0506028,0.082205,472,0.0479,0.0005,357.9,0.0381162,0.000254534,0.0764237
1,0.207073,0.18703,0.0436824,0.053648,0.085771,472,0.0479,0.0005,357.9,0.0381162,0.000254534,0.0800207
1,0.214338,0.193545,0.0550942,0.0567968,0.0894532,472,0.0557,0.0004,357.7,0.0495308,0.000930743,0.0837201
1,0.219237,0.199347,0.0550942,0.0598305,0.0929788,472,0.0557,0.0004,357.7,0.0495308,0.000930743,0.0873066
1,0.22205,0.205129,0.0550942,0.0631589,0.0967844,472,0.0557,0.0004,357.7,0.0495308,0.000930743,0.091178
1,0.2279,0.21017,0.0550942,0.0663492,0.10044,472,0.0557,0.0004,357.7,0.0495308,0.000930743,0.0949117
